,Basketball,CC/Track,Other,School,Sport Category
Nat. Haw./PI,1,2,1,Eastern Washington University,Women
US N-R,1,0,2,Eastern Washington University,Women
Two or More,3,4,8,Eastern Washington University,Women
Unknown,0,0,1,Eastern Washington University,Women
White,8,18,28,Eastern Washington University,Women
Total,15,31,47,Eastern Washington University,Women
Am. Ind./AN,0,0,0,Elon University,Women
Asian,0,0,0,Elon University,Women
Black,0,0,0,Elon University,Women
Hispanic,0,0,0,Elon University,Women
Nat. Haw./PI,0,0,0,Elon University,Women
US N-R,0,0,0,Elon University,Women
Two or More,0,0,0,Elon University,Women
Unknown,0,0,0,Elon University,Women
White,0,0,0,Elon University,Women
Total,0,0,0,Elon University,Women
Am. Ind./AN,0,0,0,Fairfield University,Women
Asian,0,0,2,Fairfield University,Women
Black,2,0,2,Fairfield University,Women
Hispanic,0,0,4,Fairfield University,Women
Nat. Haw./PI,0,0,0,Fairfield University,Women
US N-R,1,0,18,Fairfield University,Women
Two or More,0,0,3,Fairfield University,Women
Unknown,2,1,7,Fairfield University,Women
White,9,4,116,Fairfield University,Women
Total,14,5,152,Fairfield University,Women
Am. Ind./AN,0,0,0,Fairleigh Dickinson University Metropolitan Campus,Women
Asian,0,0,5,Fairleigh Dickinson University Metropolitan Campus,Women
Black,3,10,1,Fairleigh Dickinson University Metropolitan Campus,Women
Hispanic,2,2,15,Fairleigh Dickinson University Metropolitan Campus,Women
Nat. Haw./PI,0,0,0,Fairleigh Dickinson University Metropolitan Campus,Women
US N-R,3,2,29,Fairleigh Dickinson University Metropolitan Campus,Women
Two or More,0,0,3,Fairleigh Dickinson University Metropolitan Campus,Women
Unknown,0,0,3,Fairleigh Dickinson University Metropolitan Campus,Women
White,5,1,37,Fairleigh Dickinson University Metropolitan Campus,Women
Total,13,15,93,Fairleigh Dickinson University Metropolitan Campus,Women
Am. Ind./AN,0,0,0,Florida A&M University,Women
Asian,0,0,0,Florida A&M University,Women
Black,7,20,33,Florida A&M University,Women
Hispanic,2,0,4,Florida A&M University,Women
Nat. Haw./PI,0,0,0,Florida A&M University,Women
US N-R,0,0,0,Florida A&M University,Women
Two or More,2,1,3,Florida A&M University,Women
Unknown,0,0,0,Florida A&M University,Women
White,1,0,2,Florida A&M University,Women
Total,12,21,42,Florida A&M University,Women
Am. Ind./AN,0,0,0,Florida Atlantic University,Women
Asian,0,0,2,Florida Atlantic University,Women
Black,5,3,8,Florida Atlantic University,Women
Hispanic,0,4,30,Florida Atlantic University,Women
Nat. Haw./PI,0,0,1,Florida Atlantic University,Women
US N-R,2,7,28,Florida Atlantic University,Women
Two or More,1,0,7,Florida Atlantic University,Women
Unknown,0,0,2,Florida Atlantic University,Women
White,2,4,79,Florida Atlantic University,Women
Total,10,18,157,Florida Atlantic University,Women
Am. Ind./AN,0,0,0,Florida Gulf Coast University,Women
Asian,0,0,0,Florida Gulf Coast University,Women
Black,0,0,0,Florida Gulf Coast University,Women
Hispanic,0,0,0,Florida Gulf Coast University,Women
Nat. Haw./PI,0,0,0,Florida Gulf Coast University,Women
US N-R,0,0,0,Florida Gulf Coast University,Women
Two or More,0,0,0,Florida Gulf Coast University,Women
Unknown,0,0,0,Florida Gulf Coast University,Women
White,0,0,0,Florida Gulf Coast University,Women
Total,0,0,0,Florida Gulf Coast University,Women
Am. Ind./AN,0,0,1,Florida International University,Women
Asian,0,1,2,Florida International University,Women
Black,6,8,4,Florida International University,Women
Hispanic,1,2,13,Florida International University,Women
Nat. Haw./PI,0,0,0,Florida International University,Women
US N-R,2,11,41,Florida International University,Women
Two or More,0,1,7,Florida International University,Women
Unknown,0,0,1,Florida International University,Women
White,0,8,29,Florida International University,Women
Total,9,31,98,Florida International University,Women
Am. Ind./AN,0,0,1,Florida State University,Women
Asian,0,0,1,Florida State University,Women
Black,4,8,14,Florida State University,Women
Hispanic,0,1,7,Florida State University,Women
Nat. Haw./PI,0,0,1,Florida State University,Women
US N-R,4,5,19,Florida State University,Women
Two or More,2,1,10,Florida State University,Women
Unknown,0,1,1,Florida State University,Women
White,1,7,61,Florida State University,Women
Total,11,23,115,Florida State University,Women
Am. Ind./AN,0,0,0,Fordham University,Women
Asian,0,0,3,Fordham University,Women
Black,4,4,5,Fordham University,Women
Hispanic,0,2,6,Fordham University,Women
Nat. Haw./PI,0,0,0,Fordham University,Women
US N-R,2,1,16,Fordham University,Women
Two or More,0,5,6,Fordham University,Women
Unknown,0,0,0,Fordham University,Women
White,2,18,54,Fordham University,Women
Total,8,30,90,Fordham University,Women
Am. Ind./AN,0,0,0,Furman University,Women
Asian,0,0,2,Furman University,Women
Black,3,0,2,Furman University,Women
Hispanic,0,0,6,Furman University,Women
Nat. Haw./PI,0,0,0,Furman University,Women
US N-R,1,0,1,Furman University,Women
Two or More,2,0,4,Furman University,Women
Unknown,0,0,0,Furman University,Women
White,7,12,48,Furman University,Women
Total,13,12,63,Furman University,Women
Am. Ind./AN,0,0,1,Gardner-Webb University,Women
Asian,0,0,1,Gardner-Webb University,Women
Black,7,10,4,Gardner-Webb University,Women
Hispanic,1,2,7,Gardner-Webb University,Women
Nat. Haw./PI,0,0,0,Gardner-Webb University,Women
US N-R,0,1,0,Gardner-Webb University,Women
Two or More,1,2,8,Gardner-Webb University,Women
Unknown,0,1,27,Gardner-Webb University,Women
White,4,5,62,Gardner-Webb University,Women
Total,13,21,110,Gardner-Webb University,Women
Am. Ind./AN,0,0,0,George Mason University,Women
Asian,0,1,4,George Mason University,Women
Black,11,8,7,George Mason University,Women
Hispanic,0,2,18,George Mason University,Women
Nat. Haw./PI,0,0,0,George Mason University,Women
US N-R,2,6,4,George Mason University,Women
Two or More,0,5,9,George Mason University,Women
Unknown,0,2,3,George Mason University,Women
White,1,19,98,George Mason University,Women
Total,14,43,143,George Mason University,Women
Am. Ind./AN,0,0,1,George Washington University,Women
Asian,0,0,8,George Washington University,Women
Black,8,0,6,George Washington University,Women
Hispanic,1,1,16,George Washington University,Women
Nat. Haw./PI,0,0,0,George Washington University,Women
US N-R,1,0,15,George Washington University,Women
Two or More,1,0,9,George Washington University,Women
Unknown,0,0,2,George Washington University,Women
White,4,11,82,George Washington University,Women
Total,15,12,139,George Washington University,Women
Am. Ind./AN,0,0,0,Georgetown University,Women
Asian,0,0,7,Georgetown University,Women
Black,8,4,2,Georgetown University,Women
Hispanic,1,2,2,Georgetown University,Women
Nat. Haw./PI,0,0,1,Georgetown University,Women
US N-R,0,0,0,Georgetown University,Women
Two or More,1,1,13,Georgetown University,Women
Unknown,2,0,9,Georgetown University,Women
White,2,17,89,Georgetown University,Women
Total,14,24,123,Georgetown University,Women
Am. Ind./AN,0,0,0,Georgia Institute of Technology,Women
Asian,0,0,3,Georgia Institute of Technology,Women
Black,8,12,5,Georgia Institute of Technology,Women
Hispanic,0,0,2,Georgia Institute of Technology,Women
Nat. Haw./PI,0,0,0,Georgia Institute of Technology,Women
US N-R,4,5,18,Georgia Institute of Technology,Women
Two or More,0,1,3,Georgia Institute of Technology,Women
Unknown,0,1,1,Georgia Institute of Technology,Women
White,0,25,41,Georgia Institute of Technology,Women
Total,12,44,73,Georgia Institute of Technology,Women
Am. Ind./AN,0,0,0,Georgia Southern University,Women
Asian,0,0,0,Georgia Southern University,Women
Black,14,16,6,Georgia Southern University,Women
Hispanic,0,0,4,Georgia Southern University,Women
Nat. Haw./PI,0,0,0,Georgia Southern University,Women
US N-R,0,4,22,Georgia Southern University,Women
Two or More,0,0,5,Georgia Southern University,Women
Unknown,0,0,1,Georgia Southern University,Women
White,1,8,60,Georgia Southern University,Women
Total,15,28,98,Georgia Southern University,Women
Am. Ind./AN,0,0,0,Georgia State University,Women
Asian,0,0,1,Georgia State University,Women
Black,11,9,9,Georgia State University,Women
Hispanic,0,1,11,Georgia State University,Women
Nat. Haw./PI,0,0,1,Georgia State University,Women
US N-R,1,7,22,Georgia State University,Women
Two or More,1,1,4,Georgia State University,Women
Unknown,0,0,5,Georgia State University,Women
White,0,0,34,Georgia State University,Women
Total,13,18,87,Georgia State University,Women
Am. Ind./AN,0,0,0,Gonzaga University,Women
Asian,0,0,7,Gonzaga University,Women
Black,2,1,2,Gonzaga University,Women
Hispanic,0,0,13,Gonzaga University,Women
Nat. Haw./PI,0,0,1,Gonzaga University,Women
US N-R,4,2,9,Gonzaga University,Women
Two or More,0,0,6,Gonzaga University,Women
Unknown,0,0,0,Gonzaga University,Women
White,4,6,51,Gonzaga University,Women
Total,10,9,89,Gonzaga University,Women
Am. Ind./AN,0,0,0,Grambling State University,Women
Asian,0,0,0,Grambling State University,Women
Black,13,23,53,Grambling State University,Women
Hispanic,0,0,5,Grambling State University,Women
Nat. Haw./PI,0,0,0,Grambling State University,Women
US N-R,0,0,5,Grambling State University,Women
Two or More,1,0,13,Grambling State University,Women
Unknown,0,0,0,Grambling State University,Women
White,0,0,5,Grambling State University,Women
Total,14,23,81,Grambling State University,Women
Am. Ind./AN,0,1,0,Grand Canyon University,Women
Asian,2,0,2,Grand Canyon University,Women
Black,3,3,5,Grand Canyon University,Women
Hispanic,0,1,15,Grand Canyon University,Women
Nat. Haw./PI,0,0,0,Grand Canyon University,Women
US N-R,1,7,20,Grand Canyon University,Women
Two or More,2,3,6,Grand Canyon University,Women
Unknown,1,1,1,Grand Canyon University,Women
White,5,18,50,Grand Canyon University,Women
Total,14,34,99,Grand Canyon University,Women
Am. Ind./AN,0,0,1,Hampton University,Women
Asian,0,0,0,Hampton University,Women
Black,14,37,87,Hampton University,Women
Hispanic,1,0,2,Hampton University,Women
Nat. Haw./PI,0,0,0,Hampton University,Women
US N-R,0,2,11,Hampton University,Women
Two or More,0,0,0,Hampton University,Women
Unknown,0,0,1,Hampton University,Women
White,0,0,0,Hampton University,Women
Total,15,39,102,Hampton University,Women
Am. Ind./AN,0,0,0,Harvard University,Women
Asian,0,0,0,Harvard University,Women
Black,0,0,0,Harvard University,Women
Hispanic,0,0,0,Harvard University,Women
Nat. Haw./PI,0,0,0,Harvard University,Women
US N-R,0,0,0,Harvard University,Women
Two or More,0,0,0,Harvard University,Women
Unknown,0,0,0,Harvard University,Women
White,0,0,0,Harvard University,Women
Total,0,0,0,Harvard University,Women
Am. Ind./AN,0,0,0,High Point University,Women
Asian,0,0,2,High Point University,Women
Black,8,2,6,High Point University,Women
Hispanic,1,1,5,High Point University,Women
Nat. Haw./PI,0,0,0,High Point University,Women
US N-R,1,5,1,High Point University,Women
Two or More,0,1,1,High Point University,Women
Unknown,0,0,0,High Point University,Women
White,6,11,41,High Point University,Women
Total,16,20,56,High Point University,Women
Am. Ind./AN,0,0,0,Hofstra University,Women
Asian,0,0,4,Hofstra University,Women
Black,6,0,2,Hofstra University,Women
Hispanic,0,2,11,Hofstra University,Women
Nat. Haw./PI,0,0,0,Hofstra University,Women
US N-R,4,0,33,Hofstra University,Women
Two or More,1,0,2,Hofstra University,Women
Unknown,0,0,1,Hofstra University,Women
White,2,2,53,Hofstra University,Women
Total,13,4,106,Hofstra University,Women
Am. Ind./AN,0,0,1,Houston Christian University,Women
Asian,0,1,1,Houston Christian University,Women
Black,4,4,2,Houston Christian University,Women
Hispanic,0,6,20,Houston Christian University,Women
Nat. Haw./PI,0,0,0,Houston Christian University,Women
US N-R,6,3,6,Houston Christian University,Women
Two or More,0,2,4,Houston Christian University,Women
Unknown,0,0,0,Houston Christian University,Women
White,3,4,32,Houston Christian University,Women
Total,13,20,66,Houston Christian University,Women
Am. Ind./AN,0,0,1,Howard University,Women
Asian,0,1,6,Howard University,Women
Black,12,21,60,Howard University,Women
Hispanic,0,1,15,Howard University,Women
Nat. Haw./PI,0,0,0,Howard University,Women
US N-R,0,1,20,Howard University,Women
Two or More,1,3,9,Howard University,Women
Unknown,2,1,0,Howard University,Women
White,0,0,3,Howard University,Women
Total,15,28,114,Howard University,Women
Am. Ind./AN,0,1,0,Idaho State University,Women
Asian,0,0,1,Idaho State University,Women
Black,3,0,1,Idaho State University,Women
Hispanic,1,3,9,Idaho State University,Women
Nat. Haw./PI,0,0,2,Idaho State University,Women
US N-R,3,6,12,Idaho State University,Women
Two or More,2,0,8,Idaho State University,Women
Unknown,0,1,2,Idaho State University,Women
White,5,25,44,Idaho State University,Women
Total,14,36,79,Idaho State University,Women
Am. Ind./AN,0,0,0,Illinois State University,Women
Asian,0,0,1,Illinois State University,Women
Black,3,11,6,Illinois State University,Women
Hispanic,0,1,8,Illinois State University,Women
Nat. Haw./PI,0,0,0,Illinois State University,Women
US N-R,0,1,13,Illinois State University,Women
Two or More,2,1,4,Illinois State University,Women
Unknown,0,1,0,Illinois State University,Women
White,8,27,77,Illinois State University,Women
Total,13,42,109,Illinois State University,Women
Am. Ind./AN,0,0,0,Indiana State University,Women
Asian,0,0,3,Indiana State University,Women
Black,7,11,5,Indiana State University,Women
Hispanic,0,1,1,Indiana State University,Women
Nat. Haw./PI,0,0,0,Indiana State University,Women
US N-R,0,0,2,Indiana State University,Women
Two or More,2,4,7,Indiana State University,Women
Unknown,0,0,1,Indiana State University,Women
White,6,25,119,Indiana State University,Women
Total,15,41,138,Indiana State University,Women
Am. Ind./AN,0,0,1,Indiana University Bloomington,Women
Asian,0,0,9,Indiana University Bloomington,Women
Black,1,6,4,Indiana University Bloomington,Women
Hispanic,1,1,6,Indiana University Bloomington,Women
Nat. Haw./PI,0,0,1,Indiana University Bloomington,Women
US N-R,0,0,0,Indiana University Bloomington,Women
Two or More,0,0,0,Indiana University Bloomington,Women
Unknown,0,0,0,Indiana University Bloomington,Women
White,7,10,120,Indiana University Bloomington,Women
Total,9,17,141,Indiana University Bloomington,Women
Am. Ind./AN,0,0,1,Indiana University Indianapolis,Women
Asian,0,0,7,Indiana University Indianapolis,Women
Black,8,7,4,Indiana University Indianapolis,Women
Hispanic,0,0,7,Indiana University Indianapolis,Women
Nat. Haw./PI,0,0,0,Indiana University Indianapolis,Women
US N-R,0,0,4,Indiana University Indianapolis,Women
Two or More,0,0,0,Indiana University Indianapolis,Women
Unknown,0,0,0,Indiana University Indianapolis,Women
White,5,12,70,Indiana University Indianapolis,Women
Total,13,19,93,Indiana University Indianapolis,Women
Am. Ind./AN,0,0,0,Iona University,Women
Asian,1,0,4,Iona University,Women
Black,2,1,4,Iona University,Women
Hispanic,0,0,17,Iona University,Women
Nat. Haw./PI,0,0,1,Iona University,Women
US N-R,6,9,9,Iona University,Women
Two or More,0,0,5,Iona University,Women
Unknown,0,0,1,Iona University,Women
White,5,5,91,Iona University,Women
Total,14,15,132,Iona University,Women
Am. Ind./AN,0,0,0,Iowa State University,Women
Asian,0,0,3,Iowa State University,Women
Black,2,5,5,Iowa State University,Women
Hispanic,0,1,12,Iowa State University,Women
Nat. Haw./PI,0,0,0,Iowa State University,Women
US N-R,3,2,23,Iowa State University,Women
Two or More,3,2,6,Iowa State University,Women
Unknown,0,0,1,Iowa State University,Women
White,4,27,62,Iowa State University,Women
Total,12,37,112,Iowa State University,Women
Am. Ind./AN,0,1,0,Jackson State University,Women
Asian,1,0,1,Jackson State University,Women
Black,13,20,50,Jackson State University,Women
Hispanic,0,0,1,Jackson State University,Women
Nat. Haw./PI,0,0,1,Jackson State University,Women
US N-R,0,0,1,Jackson State University,Women
Two or More,0,1,0,Jackson State University,Women
Unknown,0,0,4,Jackson State University,Women
White,0,0,17,Jackson State University,Women
Total,14,22,75,Jackson State University,Women
Am. Ind./AN,0,0,0,Jacksonville State University,Women
Asian,0,0,0,Jacksonville State University,Women
Black,13,5,5,Jacksonville State University,Women
Hispanic,0,0,0,Jacksonville State University,Women
Nat. Haw./PI,0,0,0,Jacksonville State University,Women
US N-R,0,10,28,Jacksonville State University,Women
Two or More,0,0,3,Jacksonville State University,Women
Unknown,0,0,0,Jacksonville State University,Women
White,0,11,53,Jacksonville State University,Women
Total,13,26,89,Jacksonville State University,Women
Am. Ind./AN,0,1,2,Jacksonville University,Women
Asian,0,0,3,Jacksonville University,Women
Black,11,9,6,Jacksonville University,Women
Hispanic,0,0,7,Jacksonville University,Women
Nat. Haw./PI,0,0,0,Jacksonville University,Women
US N-R,0,0,0,Jacksonville University,Women
Two or More,1,2,14,Jacksonville University,Women
Unknown,0,1,7,Jacksonville University,Women
White,0,4,85,Jacksonville University,Women
Total,12,17,124,Jacksonville University,Women
Am. Ind./AN,0,0,0,James Madison University,Women
Asian,0,0,2,James Madison University,Women
Black,9,6,2,James Madison University,Women
Hispanic,1,0,5,James Madison University,Women
Nat. Haw./PI,0,0,0,James Madison University,Women
US N-R,1,4,12,James Madison University,Women
Two or More,0,0,4,James Madison University,Women
Unknown,0,0,3,James Madison University,Women
White,2,10,105,James Madison University,Women
Total,13,20,133,James Madison University,Women
Am. Ind./AN,0,0,0,Kansas State University,Women
Asian,0,0,1,Kansas State University,Women
Black,3,6,4,Kansas State University,Women
Hispanic,1,3,10,Kansas State University,Women
Nat. Haw./PI,0,0,0,Kansas State University,Women
US N-R,2,7,9,Kansas State University,Women
Two or More,4,1,5,Kansas State University,Women
Unknown,2,0,2,Kansas State University,Women
White,2,13,81,Kansas State University,Women
Total,14,30,112,Kansas State University,Women
Am. Ind./AN,0,0,0,Kennesaw State University,Women
Asian,0,0,1,Kennesaw State University,Women
Black,10,20,8,Kennesaw State University,Women
Hispanic,0,1,9,Kennesaw State University,Women
Nat. Haw./PI,0,0,0,Kennesaw State University,Women
US N-R,1,3,18,Kennesaw State University,Women
Two or More,0,2,6,Kennesaw State University,Women
Unknown,2,0,0,Kennesaw State University,Women
White,1,22,67,Kennesaw State University,Women
Total,14,48,109,Kennesaw State University,Women
Am. Ind./AN,0,0,0,Kent State University,Women
Asian,0,0,1,Kent State University,Women
Black,0,7,2,Kent State University,Women
Hispanic,0,0,0,Kent State University,Women
Nat. Haw./PI,0,0,0,Kent State University,Women
US N-R,1,8,20,Kent State University,Women
Two or More,5,9,9,Kent State University,Women
Unknown,0,2,7,Kent State University,Women
White,8,17,93,Kent State University,Women
Total,14,43,132,Kent State University,Women
Am. Ind./AN,1,0,0,La Salle University,Women
Asian,0,0,2,La Salle University,Women
Black,5,12,5,La Salle University,Women
Hispanic,1,2,8,La Salle University,Women
Nat. Haw./PI,0,0,0,La Salle University,Women
US N-R,0,0,0,La Salle University,Women
Two or More,1,1,6,La Salle University,Women
Unknown,0,1,0,La Salle University,Women
White,7,14,101,La Salle University,Women
Total,15,30,122,La Salle University,Women
Am. Ind./AN,0,0,0,Lafayette College,Women
Asian,0,0,1,Lafayette College,Women
Black,3,0,1,Lafayette College,Women
Hispanic,1,0,7,Lafayette College,Women
Nat. Haw./PI,0,0,0,Lafayette College,Women
US N-R,3,0,12,Lafayette College,Women
Two or More,1,0,2,Lafayette College,Women
Unknown,0,0,1,Lafayette College,Women
White,6,0,70,Lafayette College,Women
Total,14,0,94,Lafayette College,Women
Am. Ind./AN,0,0,1,Lamar University,Women
Asian,0,0,5,Lamar University,Women
Black,14,20,13,Lamar University,Women
Hispanic,0,3,13,Lamar University,Women
Nat. Haw./PI,0,0,0,Lamar University,Women
US N-R,0,7,20,Lamar University,Women
Two or More,0,3,7,Lamar University,Women
Unknown,2,0,0,Lamar University,Women
White,0,6,30,Lamar University,Women
Total,16,39,89,Lamar University,Women
Am. Ind./AN,0,0,3,Lehigh University,Women
Asian,0,0,7,Lehigh University,Women
Black,0,1,7,Lehigh University,Women
Hispanic,1,2,3,Lehigh University,Women
Nat. Haw./PI,0,0,0,Lehigh University,Women
US N-R,0,1,5,Lehigh University,Women
Two or More,0,1,12,Lehigh University,Women
Unknown,0,0,3,Lehigh University,Women
White,13,26,84,Lehigh University,Women
Total,14,31,124,Lehigh University,Women
Am. Ind./AN,0,0,2,Liberty University,Women
Asian,0,2,3,Liberty University,Women
Black,3,7,4,Liberty University,Women
Hispanic,0,1,13,Liberty University,Women
Nat. Haw./PI,0,0,0,Liberty University,Women
US N-R,5,5,12,Liberty University,Women
Two or More,2,6,9,Liberty University,Women
Unknown,0,4,4,Liberty University,Women
White,7,44,138,Liberty University,Women
Total,17,69,185,Liberty University,Women
Am. Ind./AN,0,0,0,Lipscomb University,Women
Asian,0,0,2,Lipscomb University,Women
Black,1,3,1,Lipscomb University,Women
Hispanic,0,0,6,Lipscomb University,Women
Nat. Haw./PI,0,0,0,Lipscomb University,Women
US N-R,0,0,1,Lipscomb University,Women
Two or More,1,1,7,Lipscomb University,Women
Unknown,0,0,0,Lipscomb University,Women
White,11,24,51,Lipscomb University,Women
Total,13,28,68,Lipscomb University,Women
Am. Ind./AN,0,0,0,Long Beach State University,Women
Asian,2,1,9,Long Beach State University,Women
Black,5,4,6,Long Beach State University,Women
Hispanic,0,2,27,Long Beach State University,Women
Nat. Haw./PI,0,0,3,Long Beach State University,Women
US N-R,1,0,1,Long Beach State University,Women
Two or More,2,4,15,Long Beach State University,Women
Unknown,0,0,0,Long Beach State University,Women
White,3,17,45,Long Beach State University,Women
Total,13,28,106,Long Beach State University,Women
Am. Ind./AN,0,0,2,Long Island University,Women
Asian,0,0,2,Long Island University,Women
Black,5,8,9,Long Island University,Women
Hispanic,4,2,30,Long Island University,Women
Nat. Haw./PI,0,0,1,Long Island University,Women
US N-R,2,5,74,Long Island University,Women
Two or More,3,1,12,Long Island University,Women
Unknown,0,2,10,Long Island University,Women
White,0,5,129,Long Island University,Women
Total,14,23,269,Long Island University,Women
Am. Ind./AN,0,0,0,Longwood University,Women
Asian,0,1,2,Longwood University,Women
Black,9,1,4,Longwood University,Women
Hispanic,0,1,3,Longwood University,Women
Nat. Haw./PI,0,0,0,Longwood University,Women
US N-R,1,0,12,Longwood University,Women
Two or More,1,1,10,Longwood University,Women
Unknown,0,0,0,Longwood University,Women
White,2,12,75,Longwood University,Women
Total,13,16,106,Longwood University,Women
Am. Ind./AN,0,0,1,Louisiana State University,Women
Asian,0,0,1,Louisiana State University,Women
Black,7,9,18,Louisiana State University,Women
Hispanic,3,1,8,Louisiana State University,Women
Nat. Haw./PI,0,0,0,Louisiana State University,Women
US N-R,1,8,20,Louisiana State University,Women
Two or More,0,1,5,Louisiana State University,Women
Unknown,0,0,1,Louisiana State University,Women
White,0,9,56,Louisiana State University,Women
Total,11,28,110,Louisiana State University,Women
Am. Ind./AN,0,0,0,Louisiana Tech University,Women
Asian,0,0,0,Louisiana Tech University,Women
Black,5,10,7,Louisiana Tech University,Women
Hispanic,1,0,5,Louisiana Tech University,Women
Nat. Haw./PI,0,0,0,Louisiana Tech University,Women
US N-R,2,10,21,Louisiana Tech University,Women
Two or More,1,0,1,Louisiana Tech University,Women
Unknown,0,0,3,Louisiana Tech University,Women
White,4,6,32,Louisiana Tech University,Women
Total,13,26,69,Louisiana Tech University,Women
Am. Ind./AN,0,0,0,Loyola Marymount University,Women
Asian,0,0,4,Loyola Marymount University,Women
Black,3,2,4,Loyola Marymount University,Women
Hispanic,4,1,17,Loyola Marymount University,Women
Nat. Haw./PI,0,0,1,Loyola Marymount University,Women
US N-R,0,0,24,Loyola Marymount University,Women
Two or More,0,0,11,Loyola Marymount University,Women
Unknown,0,0,0,Loyola Marymount University,Women
White,3,3,39,Loyola Marymount University,Women
Total,10,6,100,Loyola Marymount University,Women
Am. Ind./AN,0,0,0,Loyola University Chicago,Women
Asian,0,0,0,Loyola University Chicago,Women
Black,2,1,1,Loyola University Chicago,Women
Hispanic,0,2,4,Loyola University Chicago,Women
Nat. Haw./PI,0,0,0,Loyola University Chicago,Women
US N-R,0,5,0,Loyola University Chicago,Women
Two or More,1,0,1,Loyola University Chicago,Women
Unknown,0,0,1,Loyola University Chicago,Women
White,4,9,49,Loyola University Chicago,Women
Total,7,17,56,Loyola University Chicago,Women
Am. Ind./AN,0,0,0,Loyola University Maryland,Women
Asian,0,0,1,Loyola University Maryland,Women
Black,3,2,2,Loyola University Maryland,Women
Hispanic,0,0,4,Loyola University Maryland,Women
Nat. Haw./PI,0,0,0,Loyola University Maryland,Women
US N-R,5,0,6,Loyola University Maryland,Women
Two or More,1,0,6,Loyola University Maryland,Women
Unknown,0,0,1,Loyola University Maryland,Women
White,5,3,72,Loyola University Maryland,Women
Total,14,5,92,Loyola University Maryland,Women
Am. Ind./AN,0,0,0,Manhattan University,Women
Asian,0,0,0,Manhattan University,Women
Black,0,6,9,Manhattan University,Women
Hispanic,1,2,7,Manhattan University,Women
Nat. Haw./PI,0,0,0,Manhattan University,Women
US N-R,5,1,5,Manhattan University,Women
Two or More,0,0,5,Manhattan University,Women
Unknown,0,2,3,Manhattan University,Women
White,4,4,70,Manhattan University,Women
Total,10,15,99,Manhattan University,Women
Am. Ind./AN,0,0,0,Marist University,Women
Asian,0,1,1,Marist University,Women
Black,1,1,5,Marist University,Women
Hispanic,0,1,14,Marist University,Women
Nat. Haw./PI,0,0,1,Marist University,Women
US N-R,0,0,11,Marist University,Women
Two or More,0,2,5,Marist University,Women
Unknown,0,0,2,Marist University,Women
White,12,25,102,Marist University,Women
Total,13,30,141,Marist University,Women
Am. Ind./AN,0,0,0,Marquette University,Women
Asian,0,0,1,Marquette University,Women
Black,1,0,1,Marquette University,Women
Hispanic,0,1,3,Marquette University,Women
Nat. Haw./PI,0,0,0,Marquette University,Women
US N-R,2,0,6,Marquette University,Women
Two or More,0,1,2,Marquette University,Women
Unknown,0,0,0,Marquette University,Women
White,4,1,62,Marquette University,Women
Total,7,3,75,Marquette University,Women
Am. Ind./AN,0,0,0,Marshall University,Women
Asian,0,0,1,Marshall University,Women
Black,9,5,4,Marshall University,Women
Hispanic,1,3,4,Marshall University,Women
Nat. Haw./PI,0,0,0,Marshall University,Women
US N-R,0,1,19,Marshall University,Women
Two or More,0,3,11,Marshall University,Women
Unknown,1,1,11,Marshall University,Women
White,4,17,57,Marshall University,Women
Total,15,30,107,Marshall University,Women
Am. Ind./AN,0,0,1,McNeese State University,Women
Asian,0,0,1,McNeese State University,Women
Black,2,13,3,McNeese State University,Women
Hispanic,0,2,16,McNeese State University,Women
Nat. Haw./PI,0,0,1,McNeese State University,Women
US N-R,10,9,17,McNeese State University,Women
Two or More,0,2,2,McNeese State University,Women
Unknown,0,1,0,McNeese State University,Women
White,3,8,39,McNeese State University,Women
Total,15,35,80,McNeese State University,Women
Am. Ind./AN,0,0,2,Mercer University,Women
Asian,0,0,2,Mercer University,Women
Black,4,10,9,Mercer University,Women
Hispanic,2,1,4,Mercer University,Women
Nat. Haw./PI,0,0,0,Mercer University,Women
US N-R,2,0,13,Mercer University,Women
Two or More,2,1,9,Mercer University,Women
Unknown,0,0,2,Mercer University,Women
White,3,5,92,Mercer University,Women
Total,13,17,133,Mercer University,Women
Am. Ind./AN,0,0,0,Merrimack College,Women
Asian,0,0,1,Merrimack College,Women
Black,2,4,0,Merrimack College,Women
Hispanic,1,1,6,Merrimack College,Women
Nat. Haw./PI,0,0,0,Merrimack College,Women
US N-R,0,0,29,Merrimack College,Women
Two or More,2,2,9,Merrimack College,Women
Unknown,0,0,0,Merrimack College,Women
White,7,31,117,Merrimack College,Women
Total,12,38,162,Merrimack College,Women
Am. Ind./AN,0,0,0,Miami University (Ohio),Women
Asian,0,0,1,Miami University (Ohio),Women
Black,4,2,2,Miami University (Ohio),Women
Hispanic,0,3,5,Miami University (Ohio),Women
Nat. Haw./PI,0,0,0,Miami University (Ohio),Women
US N-R,4,4,15,Miami University (Ohio),Women
Two or More,0,2,2,Miami University (Ohio),Women
Unknown,0,0,0,Miami University (Ohio),Women
White,6,22,107,Miami University (Ohio),Women
Total,14,33,132,Miami University (Ohio),Women
Am. Ind./AN,0,0,0,Michigan State University,Women
Asian,0,0,2,Michigan State University,Women
Black,3,3,6,Michigan State University,Women
Hispanic,0,0,7,Michigan State University,Women
Nat. Haw./PI,0,0,1,Michigan State University,Women
US N-R,2,0,34,Michigan State University,Women
Two or More,0,0,9,Michigan State University,Women
