,Basketball,CC/Track,Other,School
White,6,20,81,Fordham University
Total,14,23,98,Fordham University
Am. Ind./AN,0,0,1,Furman University
Asian,0,0,1,Furman University
Black,7,0,4,Furman University
Hispanic,0,1,2,Furman University
Nat. Haw./PI,0,0,0,Furman University
N-R Alien,0,0,4,Furman University
Two or More,1,0,1,Furman University
Unknown,1,0,8,Furman University
White,5,12,57,Furman University
Total,14,13,78,Furman University
Am. Ind./AN,0,0,1,Gardner-Webb University
Asian,0,0,0,Gardner-Webb University
Black,8,5,17,Gardner-Webb University
Hispanic,1,2,5,Gardner-Webb University
Nat. Haw./PI,0,0,0,Gardner-Webb University
N-R Alien,1,0,13,Gardner-Webb University
Two or More,0,0,0,Gardner-Webb University
Unknown,2,0,5,Gardner-Webb University
White,3,15,73,Gardner-Webb University
Total,15,22,114,Gardner-Webb University
Am. Ind./AN,0,0,0,George Mason University
Asian,0,0,3,George Mason University
Black,11,9,5,George Mason University
Hispanic,0,1,7,George Mason University
Nat. Haw./PI,0,0,1,George Mason University
N-R Alien,1,4,3,George Mason University
Two or More,0,0,2,George Mason University
Unknown,1,2,4,George Mason University
White,2,6,73,George Mason University
Total,15,22,98,George Mason University
Am. Ind./AN,0,0,0,George Washington University
Asian,0,0,4,George Washington University
Black,9,0,6,George Washington University
Hispanic,0,0,5,George Washington University
Nat. Haw./PI,0,0,0,George Washington University
N-R Alien,1,0,5,George Washington University
Two or More,0,1,5,George Washington University
Unknown,1,1,4,George Washington University
White,3,2,106,George Washington University
Total,14,4,135,George Washington University
Am. Ind./AN,0,0,0,Georgetown University
Asian,0,0,7,Georgetown University
Black,10,11,2,Georgetown University
Hispanic,0,0,6,Georgetown University
Nat. Haw./PI,0,0,1,Georgetown University
N-R Alien,0,0,0,Georgetown University
Two or More,1,0,8,Georgetown University
Unknown,1,0,3,Georgetown University
White,3,21,218,Georgetown University
Total,15,32,245,Georgetown University
Am. Ind./AN,0,0,1,Georgia Institute of Technology
Asian,0,0,0,Georgia Institute of Technology
Black,10,11,5,Georgia Institute of Technology
Hispanic,0,1,1,Georgia Institute of Technology
Nat. Haw./PI,0,0,0,Georgia Institute of Technology
N-R Alien,2,1,6,Georgia Institute of Technology
Two or More,1,2,2,Georgia Institute of Technology
Unknown,1,0,0,Georgia Institute of Technology
White,0,17,54,Georgia Institute of Technology
Total,14,32,69,Georgia Institute of Technology
Am. Ind./AN,0,0,0,Georgia Southern University
Asian,0,0,0,Georgia Southern University
Black,8,19,8,Georgia Southern University
Hispanic,0,2,6,Georgia Southern University
Nat. Haw./PI,0,0,0,Georgia Southern University
N-R Alien,0,0,3,Georgia Southern University
Two or More,0,0,2,Georgia Southern University
Unknown,0,0,0,Georgia Southern University
White,8,5,71,Georgia Southern University
Total,16,26,90,Georgia Southern University
Am. Ind./AN,0,0,0,Georgia State University
Asian,0,0,0,Georgia State University
Black,10,17,11,Georgia State University
Hispanic,0,0,5,Georgia State University
Nat. Haw./PI,0,0,0,Georgia State University
N-R Alien,2,2,15,Georgia State University
Two or More,0,1,5,Georgia State University
Unknown,0,0,0,Georgia State University
White,3,6,53,Georgia State University
Total,15,26,89,Georgia State University
Am. Ind./AN,0,1,0,Gonzaga University
Asian,0,0,9,Gonzaga University
Black,2,0,1,Gonzaga University
Hispanic,1,2,1,Gonzaga University
Nat. Haw./PI,1,0,1,Gonzaga University
N-R Alien,2,0,3,Gonzaga University
Two or More,3,0,2,Gonzaga University
Unknown,0,1,2,Gonzaga University
White,5,14,56,Gonzaga University
Total,14,18,75,Gonzaga University
Am. Ind./AN,0,0,0,Grambling State University
Asian,0,0,0,Grambling State University
Black,9,33,43,Grambling State University
Hispanic,1,0,4,Grambling State University
Nat. Haw./PI,0,0,0,Grambling State University
N-R Alien,1,0,8,Grambling State University
Two or More,1,0,0,Grambling State University
Unknown,0,0,0,Grambling State University
White,0,1,4,Grambling State University
Total,12,34,59,Grambling State University
Am. Ind./AN,1,0,2,Grand Canyon University
Asian,0,0,0,Grand Canyon University
Black,5,7,1,Grand Canyon University
Hispanic,0,0,0,Grand Canyon University
Nat. Haw./PI,0,0,0,Grand Canyon University
N-R Alien,1,5,22,Grand Canyon University
Two or More,3,1,2,Grand Canyon University
Unknown,2,2,31,Grand Canyon University
White,3,11,47,Grand Canyon University
Total,15,26,105,Grand Canyon University
Am. Ind./AN,0,0,0,Hampton University
Asian,0,0,2,Hampton University
Black,17,24,28,Hampton University
Hispanic,0,1,1,Hampton University
Nat. Haw./PI,0,0,0,Hampton University
N-R Alien,0,0,7,Hampton University
Two or More,0,0,0,Hampton University
Unknown,0,0,0,Hampton University
White,0,0,11,Hampton University
Total,17,25,49,Hampton University
Am. Ind./AN,0,0,0,Harvard University
Asian,0,0,0,Harvard University
Black,0,0,0,Harvard University
Hispanic,0,0,0,Harvard University
Nat. Haw./PI,0,0,0,Harvard University
N-R Alien,0,0,0,Harvard University
Two or More,0,0,0,Harvard University
Unknown,0,0,0,Harvard University
White,0,0,0,Harvard University
Total,0,0,0,Harvard University
Am. Ind./AN,0,0,0,High Point University
Asian,0,0,2,High Point University
Black,6,1,0,High Point University
Hispanic,0,1,0,High Point University
Nat. Haw./PI,0,0,0,High Point University
N-R Alien,0,0,0,High Point University
Two or More,1,0,6,High Point University
Unknown,0,0,0,High Point University
White,5,16,53,High Point University
Total,12,18,61,High Point University
Am. Ind./AN,0,0,0,Hofstra University
Asian,0,0,3,Hofstra University
Black,7,0,1,Hofstra University
Hispanic,1,1,9,Hofstra University
Nat. Haw./PI,0,0,0,Hofstra University
N-R Alien,1,0,23,Hofstra University
Two or More,2,1,1,Hofstra University
Unknown,1,1,0,Hofstra University
White,1,3,63,Hofstra University
Total,13,6,100,Hofstra University
Am. Ind./AN,0,0,0,Houston Christian University
Asian,0,0,2,Houston Christian University
Black,7,15,2,Houston Christian University
Hispanic,0,4,7,Houston Christian University
Nat. Haw./PI,0,0,0,Houston Christian University
N-R Alien,5,0,5,Houston Christian University
Two or More,0,3,4,Houston Christian University
Unknown,1,0,1,Houston Christian University
White,2,8,44,Houston Christian University
Total,15,30,65,Houston Christian University
Am. Ind./AN,0,0,0,Howard University
Asian,0,0,1,Howard University
Black,8,16,62,Howard University
Hispanic,0,1,5,Howard University
Nat. Haw./PI,0,0,0,Howard University
N-R Alien,1,3,2,Howard University
Two or More,0,1,11,Howard University
Unknown,0,1,0,Howard University
White,0,0,5,Howard University
Total,9,22,86,Howard University
Am. Ind./AN,0,0,1,Idaho State University
Asian,0,1,0,Idaho State University
Black,2,0,0,Idaho State University
Hispanic,0,0,5,Idaho State University
Nat. Haw./PI,0,0,2,Idaho State University
N-R Alien,1,2,6,Idaho State University
Two or More,1,2,3,Idaho State University
Unknown,0,0,1,Idaho State University
White,10,38,50,Idaho State University
Total,14,43,68,Idaho State University
Am. Ind./AN,0,0,0,Illinois State University
Asian,0,0,1,Illinois State University
Black,4,7,6,Illinois State University
Hispanic,0,0,3,Illinois State University
Nat. Haw./PI,0,0,0,Illinois State University
N-R Alien,0,5,13,Illinois State University
Two or More,2,0,3,Illinois State University
Unknown,1,0,0,Illinois State University
White,7,25,99,Illinois State University
Total,14,37,125,Illinois State University
Am. Ind./AN,0,0,0,Indiana State University
Asian,0,0,2,Indiana State University
Black,8,12,0,Indiana State University
Hispanic,0,1,2,Indiana State University
Nat. Haw./PI,0,0,0,Indiana State University
N-R Alien,0,0,0,Indiana State University
Two or More,2,0,2,Indiana State University
Unknown,0,0,0,Indiana State University
White,5,28,61,Indiana State University
Total,15,41,67,Indiana State University
Am. Ind./AN,0,0,0,Indiana University Bloomington
Asian,0,0,2,Indiana University Bloomington
Black,3,9,4,Indiana University Bloomington
Hispanic,1,0,5,Indiana University Bloomington
Nat. Haw./PI,1,0,0,Indiana University Bloomington
N-R Alien,0,3,29,Indiana University Bloomington
Two or More,2,2,5,Indiana University Bloomington
Unknown,2,0,3,Indiana University Bloomington
White,5,19,112,Indiana University Bloomington
Total,14,33,160,Indiana University Bloomington
Am. Ind./AN,0,0,0,Indiana University Indianapolis
Asian,0,0,1,Indiana University Indianapolis
Black,8,0,1,Indiana University Indianapolis
Hispanic,0,2,4,Indiana University Indianapolis
Nat. Haw./PI,0,0,0,Indiana University Indianapolis
N-R Alien,0,0,1,Indiana University Indianapolis
Two or More,0,0,5,Indiana University Indianapolis
Unknown,0,0,0,Indiana University Indianapolis
White,7,20,92,Indiana University Indianapolis
Total,15,22,104,Indiana University Indianapolis
Am. Ind./AN,0,0,0,Iona University
Asian,0,0,1,Iona University
Black,8,1,4,Iona University
Hispanic,1,1,11,Iona University
Nat. Haw./PI,0,0,1,Iona University
N-R Alien,0,0,1,Iona University
Two or More,1,0,2,Iona University
Unknown,0,0,2,Iona University
White,3,5,68,Iona University
Total,13,7,90,Iona University
Am. Ind./AN,0,0,0,Iowa State University
Asian,0,0,1,Iowa State University
Black,6,1,5,Iowa State University
Hispanic,0,0,5,Iowa State University
Nat. Haw./PI,0,0,1,Iowa State University
N-R Alien,0,4,18,Iowa State University
Two or More,0,0,3,Iowa State University
Unknown,0,1,4,Iowa State University
White,9,29,86,Iowa State University
Total,15,35,123,Iowa State University
Am. Ind./AN,0,0,0,Jackson State University
Asian,0,0,3,Jackson State University
Black,12,18,36,Jackson State University
Hispanic,0,0,5,Jackson State University
Nat. Haw./PI,0,0,0,Jackson State University
N-R Alien,0,0,0,Jackson State University
Two or More,2,1,7,Jackson State University
Unknown,0,0,3,Jackson State University
White,0,0,9,Jackson State University
Total,14,19,63,Jackson State University
Am. Ind./AN,0,0,0,Jacksonville State University
Asian,0,0,0,Jacksonville State University
Black,11,19,1,Jacksonville State University
Hispanic,0,0,0,Jacksonville State University
Nat. Haw./PI,0,0,0,Jacksonville State University
N-R Alien,0,1,19,Jacksonville State University
Two or More,0,0,0,Jacksonville State University
Unknown,0,0,0,Jacksonville State University
White,2,10,52,Jacksonville State University
Total,13,30,72,Jacksonville State University
Am. Ind./AN,0,0,1,Jacksonville University
Asian,0,0,3,Jacksonville University
Black,14,11,6,Jacksonville University
Hispanic,0,1,7,Jacksonville University
Nat. Haw./PI,0,0,1,Jacksonville University
N-R Alien,0,0,0,Jacksonville University
Two or More,0,0,5,Jacksonville University
Unknown,0,0,2,Jacksonville University
White,0,4,87,Jacksonville University
Total,14,16,112,Jacksonville University
Am. Ind./AN,0,0,0,James Madison University
Asian,0,0,3,James Madison University
Black,8,13,2,James Madison University
Hispanic,1,2,4,James Madison University
Nat. Haw./PI,0,0,0,James Madison University
N-R Alien,0,0,16,James Madison University
Two or More,1,2,5,James Madison University
Unknown,1,0,5,James Madison University
White,2,26,139,James Madison University
Total,13,43,174,James Madison University
Am. Ind./AN,0,0,0,Kansas State University
Asian,0,0,0,Kansas State University
Black,6,4,0,Kansas State University
Hispanic,0,0,0,Kansas State University
Nat. Haw./PI,0,0,0,Kansas State University
N-R Alien,1,6,12,Kansas State University
Two or More,3,4,4,Kansas State University
Unknown,0,0,2,Kansas State University
White,4,13,73,Kansas State University
Total,14,27,91,Kansas State University
Am. Ind./AN,0,0,0,Kennesaw State University
Asian,0,0,3,Kennesaw State University
Black,9,23,11,Kennesaw State University
Hispanic,1,0,3,Kennesaw State University
Nat. Haw./PI,0,0,0,Kennesaw State University
N-R Alien,0,0,0,Kennesaw State University
Two or More,1,1,4,Kennesaw State University
Unknown,2,5,2,Kennesaw State University
White,2,11,69,Kennesaw State University
Total,15,40,92,Kennesaw State University
Am. Ind./AN,0,0,0,Kent State University
Asian,0,0,2,Kent State University
Black,9,9,6,Kent State University
Hispanic,0,0,0,Kent State University
Nat. Haw./PI,0,0,0,Kent State University
N-R Alien,0,2,7,Kent State University
Two or More,0,0,2,Kent State University
Unknown,0,0,0,Kent State University
White,6,24,76,Kent State University
Total,15,35,93,Kent State University
Am. Ind./AN,0,0,1,La Salle University
Asian,0,0,1,La Salle University
Black,7,4,6,La Salle University
Hispanic,0,0,5,La Salle University
Nat. Haw./PI,0,0,0,La Salle University
N-R Alien,0,0,1,La Salle University
Two or More,0,0,6,La Salle University
Unknown,1,2,4,La Salle University
White,2,14,133,La Salle University
Total,10,20,157,La Salle University
Am. Ind./AN,0,0,0,Lafayette College
Asian,0,0,0,Lafayette College
Black,4,2,0,Lafayette College
Hispanic,0,1,3,Lafayette College
Nat. Haw./PI,0,0,0,Lafayette College
N-R Alien,1,0,2,Lafayette College
Two or More,0,1,0,Lafayette College
Unknown,3,1,8,Lafayette College
White,7,3,42,Lafayette College
Total,15,8,55,Lafayette College
Am. Ind./AN,2,0,0,Lamar University
Asian,0,1,0,Lamar University
Black,8,12,3,Lamar University
Hispanic,1,0,9,Lamar University
Nat. Haw./PI,0,0,0,Lamar University
N-R Alien,1,5,7,Lamar University
Two or More,0,0,0,Lamar University
Unknown,0,1,0,Lamar University
White,1,9,38,Lamar University
Total,13,28,57,Lamar University
Am. Ind./AN,0,0,0,Lehigh University
Asian,0,0,4,Lehigh University
Black,1,1,0,Lehigh University
Hispanic,0,1,6,Lehigh University
Nat. Haw./PI,0,0,0,Lehigh University
N-R Alien,1,0,1,Lehigh University
Two or More,2,2,3,Lehigh University
Unknown,1,0,1,Lehigh University
White,7,16,78,Lehigh University
Total,12,20,93,Lehigh University
Am. Ind./AN,0,0,1,Liberty University
Asian,0,0,2,Liberty University
Black,3,7,4,Liberty University
Hispanic,0,0,3,Liberty University
Nat. Haw./PI,0,0,0,Liberty University
N-R Alien,0,0,10,Liberty University
Two or More,2,2,3,Liberty University
Unknown,2,3,12,Liberty University
White,7,18,89,Liberty University
Total,14,30,124,Liberty University
Am. Ind./AN,0,0,0,Lipscomb University
Asian,0,1,1,Lipscomb University
Black,3,3,3,Lipscomb University
Hispanic,0,1,4,Lipscomb University
Nat. Haw./PI,0,0,0,Lipscomb University
N-R Alien,0,0,1,Lipscomb University
Two or More,0,0,1,Lipscomb University
Unknown,0,2,3,Lipscomb University
White,12,39,66,Lipscomb University
Total,15,46,79,Lipscomb University
Am. Ind./AN,0,0,0,Long Beach State University
Asian,0,0,0,Long Beach State University
Black,0,0,0,Long Beach State University
Hispanic,0,0,0,Long Beach State University
Nat. Haw./PI,0,0,0,Long Beach State University
N-R Alien,0,0,0,Long Beach State University
Two or More,0,0,0,Long Beach State University
Unknown,0,0,0,Long Beach State University
White,0,0,0,Long Beach State University
Total,0,0,0,Long Beach State University
Am. Ind./AN,0,0,0,Long Island University
Asian,0,0,2,Long Island University
Black,9,12,8,Long Island University
Hispanic,0,1,12,Long Island University
Nat. Haw./PI,1,0,1,Long Island University
N-R Alien,4,4,26,Long Island University
Two or More,0,0,1,Long Island University
Unknown,0,0,3,Long Island University
White,1,0,40,Long Island University
Total,15,17,93,Long Island University
Am. Ind./AN,0,0,0,Longwood University
Asian,0,0,0,Longwood University
Black,6,0,2,Longwood University
Hispanic,1,0,4,Longwood University
Nat. Haw./PI,0,0,0,Longwood University
N-R Alien,0,0,9,Longwood University
Two or More,1,0,3,Longwood University
Unknown,0,0,3,Longwood University
White,6,9,102,Longwood University
Total,14,9,123,Longwood University
Am. Ind./AN,0,0,0,Louisiana State University
Asian,1,0,0,Louisiana State University
Black,8,17,14,Louisiana State University
Hispanic,1,0,6,Louisiana State University
Nat. Haw./PI,0,0,0,Louisiana State University
N-R Alien,1,4,17,Louisiana State University
Two or More,0,1,3,Louisiana State University
Unknown,0,0,3,Louisiana State University
White,2,6,61,Louisiana State University
Total,13,28,104,Louisiana State University
Am. Ind./AN,0,0,0,Louisiana Tech University
Asian,0,0,0,Louisiana Tech University
Black,10,18,3,Louisiana Tech University
Hispanic,0,0,0,Louisiana Tech University
Nat. Haw./PI,0,0,3,Louisiana Tech University
N-R Alien,1,1,20,Louisiana Tech University
Two or More,0,0,0,Louisiana Tech University
Unknown,0,0,7,Louisiana Tech University
White,1,4,32,Louisiana Tech University
Total,12,23,65,Louisiana Tech University
Am. Ind./AN,0,0,1,Loyola Marymount University
Asian,1,0,1,Loyola Marymount University
Black,5,0,3,Loyola Marymount University
Hispanic,5,6,22,Loyola Marymount University
Nat. Haw./PI,0,0,0,Loyola Marymount University
N-R Alien,0,0,11,Loyola Marymount University
Two or More,1,1,13,Loyola Marymount University
Unknown,0,0,0,Loyola Marymount University
White,1,4,69,Loyola Marymount University
Total,13,11,120,Loyola Marymount University
Am. Ind./AN,0,0,0,Loyola University Chicago
Asian,0,1,1,Loyola University Chicago
Black,5,3,0,Loyola University Chicago
Hispanic,0,1,2,Loyola University Chicago
Nat. Haw./PI,0,0,0,Loyola University Chicago
N-R Alien,0,0,1,Loyola University Chicago
Two or More,2,0,4,Loyola University Chicago
Unknown,0,0,1,Loyola University Chicago
White,8,15,49,Loyola University Chicago
Total,15,20,58,Loyola University Chicago
Am. Ind./AN,1,0,0,Loyola University Maryland
Asian,0,0,2,Loyola University Maryland
Black,5,3,4,Loyola University Maryland
Hispanic,0,4,7,Loyola University Maryland
Nat. Haw./PI,0,0,0,Loyola University Maryland
N-R Alien,0,0,1,Loyola University Maryland
Two or More,0,1,3,Loyola University Maryland
Unknown,0,0,0,Loyola University Maryland
White,4,33,112,Loyola University Maryland
Total,10,41,129,Loyola University Maryland
Am. Ind./AN,0,0,0,Manhattan University
Asian,0,0,0,Manhattan University
Black,0,0,0,Manhattan University
Hispanic,0,0,0,Manhattan University
Nat. Haw./PI,0,0,0,Manhattan University
N-R Alien,0,0,0,Manhattan University
Two or More,0,0,0,Manhattan University
Unknown,0,0,0,Manhattan University
White,0,0,0,Manhattan University
Total,0,0,0,Manhattan University
Am. Ind./AN,0,0,0,Marist University
Asian,0,0,5,Marist University
Black,2,1,5,Marist University
Hispanic,2,4,14,Marist University
Nat. Haw./PI,0,0,0,Marist University
N-R Alien,0,1,2,Marist University
Two or More,0,2,5,Marist University
Unknown,1,3,14,Marist University
White,11,37,185,Marist University
Total,16,48,230,Marist University
Am. Ind./AN,0,0,0,Marquette University
Asian,0,0,0,Marquette University
Black,4,3,1,Marquette University
Hispanic,1,0,5,Marquette University
Nat. Haw./PI,0,0,0,Marquette University
N-R Alien,2,1,6,Marquette University
Two or More,0,1,4,Marquette University
Unknown,0,0,0,Marquette University
White,3,32,68,Marquette University
Total,10,37,84,Marquette University
Am. Ind./AN,0,0,0,Marshall University
Asian,0,0,1,Marshall University
Black,11,15,4,Marshall University
Hispanic,0,0,4,Marshall University
Nat. Haw./PI,0,0,0,Marshall University
N-R Alien,0,0,0,Marshall University
Two or More,2,0,2,Marshall University
Unknown,0,1,1,Marshall University
White,2,16,67,Marshall University
Total,15,32,79,Marshall University
Am. Ind./AN,0,0,0,McNeese State University
Asian,0,0,0,McNeese State University
Black,8,13,5,McNeese State University
Hispanic,0,3,5,McNeese State University
Nat. Haw./PI,0,0,0,McNeese State University
N-R Alien,0,3,12,McNeese State University
Two or More,0,1,2,McNeese State University
Unknown,0,0,0,McNeese State University
White,5,10,57,McNeese State University
Total,13,30,81,McNeese State University
Am. Ind./AN,0,0,0,Mercer University
Asian,0,0,0,Mercer University
Black,7,1,5,Mercer University
Hispanic,0,1,4,Mercer University
Nat. Haw./PI,0,0,0,Mercer University
N-R Alien,1,1,3,Mercer University
Two or More,0,0,2,Mercer University
Unknown,0,0,2,Mercer University
White,2,9,67,Mercer University
Total,10,12,83,Mercer University
Am. Ind./AN,0,0,0,Miami University (Ohio)
Asian,0,0,1,Miami University (Ohio)
Black,2,7,2,Miami University (Ohio)
Hispanic,0,4,2,Miami University (Ohio)
Nat. Haw./PI,0,0,0,Miami University (Ohio)
N-R Alien,0,0,10,Miami University (Ohio)
Two or More,0,0,1,Miami University (Ohio)
Unknown,0,0,3,Miami University (Ohio)
White,12,37,100,Miami University (Ohio)
Total,14,48,119,Miami University (Ohio)
Am. Ind./AN,0,0,0,Michigan State University
Asian,0,0,2,Michigan State University
Black,5,9,3,Michigan State University
Hispanic,0,0,2,Michigan State University
Nat. Haw./PI,0,0,0,Michigan State University
N-R Alien,0,1,23,Michigan State University
Two or More,2,4,4,Michigan State University
Unknown,1,0,5,Michigan State University
White,6,23,137,Michigan State University
Total,14,37,176,Michigan State University
Am. Ind./AN,0,0,0,Middle Tennessee State University
Asian,0,0,3,Middle Tennessee State University
Black,13,19,8,Middle Tennessee State University
Hispanic,0,0,3,Middle Tennessee State University
Nat. Haw./PI,0,0,1,Middle Tennessee State University
N-R Alien,0,0,0,Middle Tennessee State University
Two or More,1,0,7,Middle Tennessee State University
Unknown,0,0,1,Middle Tennessee State University
White,2,3,61,Middle Tennessee State University
Total,16,22,84,Middle Tennessee State University
Am. Ind./AN,0,0,0,Mississippi State University
Asian,0,1,1,Mississippi State University
Black,12,15,8,Mississippi State University
Hispanic,0,0,3,Mississippi State University
Nat. Haw./PI,0,0,0,Mississippi State University
N-R Alien,0,0,0,Mississippi State University
Two or More,1,0,2,Mississippi State University
Unknown,1,9,15,Mississippi State University
White,0,10,40,Mississippi State University
Total,14,35,69,Mississippi State University
Am. Ind./AN,0,0,0,Mississippi Valley State University
Asian,0,0,0,Mississippi Valley State University
Black,10,17,19,Mississippi Valley State University
Hispanic,0,0,4,Mississippi Valley State University
Nat. Haw./PI,0,0,0,Mississippi Valley State University
N-R Alien,0,0,0,Mississippi Valley State University
Two or More,0,0,0,Mississippi Valley State University
Unknown,0,0,6,Mississippi Valley State University
White,1,0,15,Mississippi Valley State University
Total,11,17,44,Mississippi Valley State University
Am. Ind./AN,0,0,0,Missouri State University
Asian,0,0,0,Missouri State University
Black,7,4,2,Missouri State University
Hispanic,0,0,7,Missouri State University
Nat. Haw./PI,0,0,0,Missouri State University
N-R Alien,0,9,16,Missouri State University
Two or More,1,1,9,Missouri State University
Unknown,1,0,1,Missouri State University
White,5,10,88,Missouri State University
Total,14,24,123,Missouri State University
Am. Ind./AN,0,0,0,Monmouth University
Asian,0,0,1,Monmouth University
Black,3,9,2,Monmouth University
Hispanic,1,4,13,Monmouth University
Nat. Haw./PI,0,0,0,Monmouth University
N-R Alien,4,1,3,Monmouth University
Two or More,0,4,3,Monmouth University
Unknown,1,2,1,Monmouth University
White,4,30,79,Monmouth University
Total,13,50,102,Monmouth University
Am. Ind./AN,0,0,0,Montana State University-Bozeman
Asian,0,0,2,Montana State University-Bozeman
Black,2,1,1,Montana State University-Bozeman
Hispanic,0,3,1,Montana State University-Bozeman
Nat. Haw./PI,0,0,0,Montana State University-Bozeman
N-R Alien,2,0,14,Montana State University-Bozeman
Two or More,1,1,1,Montana State University-Bozeman
Unknown,1,0,0,Montana State University-Bozeman
White,9,64,46,Montana State University-Bozeman
Total,15,69,65,Montana State University-Bozeman
Am. Ind./AN,0,0,1,Morehead State University
Asian,0,0,1,Morehead State University
Black,8,0,2,Morehead State University
Hispanic,0,1,4,Morehead State University
Nat. Haw./PI,0,1,0,Morehead State University
N-R Alien,0,1,10,Morehead State University
Two or More,1,4,2,Morehead State University
Unknown,0,1,2,Morehead State University
White,5,5,59,Morehead State University
Total,14,13,81,Morehead State University
Am. Ind./AN,0,0,0,Morgan State University
Asian,0,0,0,Morgan State University
Black,14,21,21,Morgan State University
Hispanic,0,0,4,Morgan State University
Nat. Haw./PI,0,0,0,Morgan State University
N-R Alien,0,2,9,Morgan State University
Two or More,0,0,1,Morgan State University
Unknown,0,0,0,Morgan State University
White,0,0,5,Morgan State University
Total,14,23,40,Morgan State University
Am. Ind./AN,0,0,0,Mount St. Mary's University
Asian,0,1,0,Mount St. Mary's University
Black,5,5,0,Mount St. Mary's University
Hispanic,0,0,3,Mount St. Mary's University
Nat. Haw./PI,0,0,0,Mount St. Mary's University
N-R Alien,2,0,0,Mount St. Mary's University
Two or More,0,0,0,Mount St. Mary's University
Unknown,0,0,0,Mount St. Mary's University
White,7,12,75,Mount St. Mary's University
Total,14,18,78,Mount St. Mary's University
Am. Ind./AN,0,0,0,Murray State University
Asian,0,0,1,Murray State University
Black,9,0,10,Murray State University
Hispanic,0,0,1,Murray State University
Nat. Haw./PI,0,0,0,Murray State University
N-R Alien,0,0,2,Murray State University
Two or More,0,0,1,Murray State University
Unknown,1,0,0,Murray State University
White,5,0,81,Murray State University
Total,15,0,96,Murray State University
Am. Ind./AN,0,0,0,New Jersey Institute of Technology
Asian,0,0,2,New Jersey Institute of Technology
Black,4,1,1,New Jersey Institute of Technology
Hispanic,1,2,2,New Jersey Institute of Technology
Nat. Haw./PI,0,0,0,New Jersey Institute of Technology
N-R Alien,5,0,17,New Jersey Institute of Technology
Two or More,2,0,2,New Jersey Institute of Technology
Unknown,0,1,6,New Jersey Institute of Technology
White,2,10,22,New Jersey Institute of Technology
Total,14,14,52,New Jersey Institute of Technology
Am. Ind./AN,1,0,1,New Mexico State University
Asian,0,0,1,New Mexico State University
Black,9,9,6,New Mexico State University
Hispanic,1,5,19,New Mexico State University
Nat. Haw./PI,0,0,5,New Mexico State University
N-R Alien,1,0,17,New Mexico State University
Two or More,2,1,6,New Mexico State University
Unknown,1,0,2,New Mexico State University
White,1,3,74,New Mexico State University
Total,16,18,131,New Mexico State University
Am. Ind./AN,0,0,0,Niagara University
Asian,0,0,3,Niagara University
Black,7,0,5,Niagara University
Hispanic,0,2,6,Niagara University
Nat. Haw./PI,0,0,0,Niagara University
N-R Alien,0,2,10,Niagara University
Two or More,0,0,1,Niagara University
Unknown,0,0,6,Niagara University
White,6,11,72,Niagara University
Total,13,15,103,Niagara University
Am. Ind./AN,0,0,2,Nicholls State University
Asian,0,0,1,Nicholls State University
Black,8,11,0,Nicholls State University
Hispanic,1,0,4,Nicholls State University
Nat. Haw./PI,0,0,0,Nicholls State University
N-R Alien,2,8,11,Nicholls State University
Two or More,0,0,4,Nicholls State University
Unknown,1,1,0,Nicholls State University
White,2,2,48,Nicholls State University
Total,14,22,70,Nicholls State University
Am. Ind./AN,0,0,0,Norfolk State University
Asian,0,0,1,Norfolk State University
Black,12,24,17,Norfolk State University
Hispanic,1,1,8,Norfolk State University
Nat. Haw./PI,0,0,2,Norfolk State University
N-R Alien,0,2,6,Norfolk State University
Two or More,1,1,7,Norfolk State University
Unknown,0,1,0,Norfolk State University
White,0,0,13,Norfolk State University
Total,14,29,54,Norfolk State University
Am. Ind./AN,0,0,0,North Carolina A&T State University
Asian,0,0,0,North Carolina A&T State University
Black,13,13,39,North Carolina A&T State University
Hispanic,0,1,3,North Carolina A&T State University
Nat. Haw./PI,0,0,0,North Carolina A&T State University
N-R Alien,1,0,2,North Carolina A&T State University
Two or More,0,0,3,North Carolina A&T State University
Unknown,0,1,2,North Carolina A&T State University
White,0,0,3,North Carolina A&T State University
Total,14,15,52,North Carolina A&T State University
Am. Ind./AN,0,0,2,North Carolina Central University
Asian,1,0,0,North Carolina Central University
Black,11,14,16,North Carolina Central University
Hispanic,0,0,1,North Carolina Central University
Nat. Haw./PI,0,0,0,North Carolina Central University
N-R Alien,0,0,8,North Carolina Central University
Two or More,0,0,2,North Carolina Central University
Unknown,0,0,2,North Carolina Central University
White,0,0,2,North Carolina Central University
Total,12,14,33,North Carolina Central University
Am. Ind./AN,0,1,4,North Carolina State University
Asian,0,0,0,North Carolina State University
Black,8,2,20,North Carolina State University
Hispanic,0,0,0,North Carolina State University
Nat. Haw./PI,0,0,0,North Carolina State University
N-R Alien,1,0,13,North Carolina State University
Two or More,0,0,9,North Carolina State University
Unknown,0,0,1,North Carolina State University
White,1,6,93,North Carolina State University
Total,10,9,140,North Carolina State University
Am. Ind./AN,0,0,0,North Dakota State University
Asian,0,0,2,North Dakota State University
Black,2,2,0,North Dakota State University
Hispanic,2,0,7,North Dakota State University
Nat. Haw./PI,0,0,0,North Dakota State University
N-R Alien,4,5,4,North Dakota State University
Two or More,0,0,0,North Dakota State University
Unknown,1,0,1,North Dakota State University
White,8,26,47,North Dakota State University
Total,17,33,61,North Dakota State University
