,Basketball,Baseball,CC/Track,Football,Other,School
Nat. Haw./PI,0,0,0,0,0,University of Richmond
N-R Alien,0,0,0,1,2,University of Richmond
Two or More,0,2,0,2,1,University of Richmond
Unknown,0,4,3,6,11,University of Richmond
White,3,24,10,40,35,University of Richmond
Total,15,31,15,81,53,University of Richmond
Am. Ind./AN,0,0,0,0,1,University of San Diego
Asian,0,1,0,0,1,University of San Diego
Black,4,0,1,0,0,University of San Diego
Hispanic,0,0,2,0,2,University of San Diego
Nat. Haw./PI,0,0,0,0,0,University of San Diego
N-R Alien,2,0,0,0,9,University of San Diego
Two or More,0,0,0,0,1,University of San Diego
Unknown,0,1,0,0,2,University of San Diego
White,3,7,1,0,6,University of San Diego
Total,9,9,4,0,22,University of San Diego
Am. Ind./AN,0,0,0,0,0,University of San Francisco
Asian,0,0,0,0,1,University of San Francisco
Black,6,0,2,0,1,University of San Francisco
Hispanic,1,1,6,0,4,University of San Francisco
Nat. Haw./PI,0,0,0,0,1,University of San Francisco
N-R Alien,1,1,0,0,13,University of San Francisco
Two or More,1,2,1,0,2,University of San Francisco
Unknown,2,1,0,0,1,University of San Francisco
White,3,19,4,0,11,University of San Francisco
Total,14,24,13,0,34,University of San Francisco
Am. Ind./AN,0,1,0,0,0,University of South Alabama
Asian,0,0,0,1,0,University of South Alabama
Black,8,0,5,59,0,University of South Alabama
Hispanic,0,1,0,0,0,University of South Alabama
Nat. Haw./PI,0,0,0,0,0,University of South Alabama
N-R Alien,2,0,2,1,10,University of South Alabama
Two or More,0,0,0,1,0,University of South Alabama
Unknown,0,1,0,0,0,University of South Alabama
White,1,28,17,19,6,University of South Alabama
Total,11,31,24,81,16,University of South Alabama
Am. Ind./AN,0,0,0,0,0,University of South Carolina Columbia
Asian,0,0,0,0,0,University of South Carolina Columbia
Black,9,0,11,61,2,University of South Carolina Columbia
Hispanic,0,0,0,0,0,University of South Carolina Columbia
Nat. Haw./PI,0,0,0,0,1,University of South Carolina Columbia
N-R Alien,4,0,2,0,10,University of South Carolina Columbia
Two or More,0,1,1,5,4,University of South Carolina Columbia
Unknown,0,0,0,0,1,University of South Carolina Columbia
White,0,27,3,19,37,University of South Carolina Columbia
Total,13,28,17,85,55,University of South Carolina Columbia
Am. Ind./AN,0,0,0,0,0,University of South Carolina Upstate
Asian,0,0,0,0,1,University of South Carolina Upstate
Black,10,0,8,0,5,University of South Carolina Upstate
Hispanic,0,0,0,0,3,University of South Carolina Upstate
Nat. Haw./PI,0,0,0,0,0,University of South Carolina Upstate
N-R Alien,1,0,2,0,13,University of South Carolina Upstate
Two or More,1,0,2,0,1,University of South Carolina Upstate
Unknown,0,0,0,0,0,University of South Carolina Upstate
White,1,25,6,0,20,University of South Carolina Upstate
Total,13,25,18,0,43,University of South Carolina Upstate
Am. Ind./AN,0,0,0,0,0,University of South Dakota
Asian,0,0,0,0,0,University of South Dakota
Black,5,0,4,23,0,University of South Dakota
Hispanic,0,0,0,0,0,University of South Dakota
Nat. Haw./PI,0,0,0,0,0,University of South Dakota
N-R Alien,0,0,0,0,0,University of South Dakota
Two or More,1,0,0,2,0,University of South Dakota
Unknown,0,0,0,1,0,University of South Dakota
White,7,0,26,54,12,University of South Dakota
Total,13,0,30,80,12,University of South Dakota
Am. Ind./AN,0,0,0,0,0,University of South Florida
Asian,0,0,2,0,2,University of South Florida
Black,10,2,11,62,3,University of South Florida
Hispanic,0,4,6,5,6,University of South Florida
Nat. Haw./PI,0,0,0,0,1,University of South Florida
N-R Alien,2,2,4,2,26,University of South Florida
Two or More,1,1,0,6,2,University of South Florida
Unknown,1,0,0,2,0,University of South Florida
White,0,29,15,28,12,University of South Florida
Total,14,38,38,105,52,University of South Florida
Am. Ind./AN,0,0,0,2,0,University of Southern California
Asian,0,0,0,2,5,University of Southern California
Black,8,2,9,43,0,University of Southern California
Hispanic,0,5,0,3,7,University of Southern California
Nat. Haw./PI,0,0,0,3,0,University of Southern California
N-R Alien,3,0,3,1,15,University of Southern California
Two or More,2,1,0,6,2,University of Southern California
Unknown,3,2,2,10,2,University of Southern California
White,1,14,3,12,36,University of Southern California
Total,17,24,17,82,67,University of Southern California
Am. Ind./AN,0,0,0,0,0,University of Tennessee Knoxville
Asian,0,0,0,0,0,University of Tennessee Knoxville
Black,3,0,1,15,0,University of Tennessee Knoxville
Hispanic,0,0,0,0,0,University of Tennessee Knoxville
Nat. Haw./PI,0,0,0,0,0,University of Tennessee Knoxville
N-R Alien,0,0,0,0,3,University of Tennessee Knoxville
Two or More,0,0,0,1,0,University of Tennessee Knoxville
Unknown,0,0,0,0,0,University of Tennessee Knoxville
White,0,6,0,10,5,University of Tennessee Knoxville
Total,3,6,1,26,8,University of Tennessee Knoxville
Am. Ind./AN,0,0,0,0,0,University of Tennessee at Chattanooga
Asian,0,0,0,0,0,University of Tennessee at Chattanooga
Black,11,0,2,39,2,University of Tennessee at Chattanooga
Hispanic,0,0,0,1,3,University of Tennessee at Chattanooga
Nat. Haw./PI,0,0,0,0,0,University of Tennessee at Chattanooga
N-R Alien,1,0,4,1,5,University of Tennessee at Chattanooga
Two or More,0,0,0,3,0,University of Tennessee at Chattanooga
Unknown,0,0,0,0,1,University of Tennessee at Chattanooga
White,0,0,8,27,33,University of Tennessee at Chattanooga
Total,12,0,14,71,44,University of Tennessee at Chattanooga
Am. Ind./AN,0,0,0,0,0,University of Tennessee at Martin
Asian,0,0,0,0,0,University of Tennessee at Martin
Black,12,0,0,56,0,University of Tennessee at Martin
Hispanic,0,0,0,0,0,University of Tennessee at Martin
Nat. Haw./PI,0,0,0,0,0,University of Tennessee at Martin
N-R Alien,0,0,0,0,0,University of Tennessee at Martin
Two or More,0,0,0,0,0,University of Tennessee at Martin
Unknown,0,0,0,0,0,University of Tennessee at Martin
White,1,25,8,30,14,University of Tennessee at Martin
Total,13,25,8,86,14,University of Tennessee at Martin
Am. Ind./AN,0,0,0,0,0,University of Texas at Arlington
Asian,0,0,1,0,0,University of Texas at Arlington
Black,11,1,11,0,0,University of Texas at Arlington
Hispanic,0,2,4,0,0,University of Texas at Arlington
Nat. Haw./PI,0,0,1,0,0,University of Texas at Arlington
N-R Alien,1,1,6,0,12,University of Texas at Arlington
Two or More,0,0,0,0,0,University of Texas at Arlington
Unknown,0,0,0,0,0,University of Texas at Arlington
White,4,27,11,0,9,University of Texas at Arlington
Total,16,31,34,0,21,University of Texas at Arlington
Am. Ind./AN,0,0,0,0,0,University of Texas at Austin
Asian,0,0,0,0,2,University of Texas at Austin
Black,10,0,6,60,1,University of Texas at Austin
Hispanic,0,2,2,3,1,University of Texas at Austin
Nat. Haw./PI,0,0,0,0,0,University of Texas at Austin
N-R Alien,0,0,2,0,3,University of Texas at Austin
Two or More,0,0,0,1,3,University of Texas at Austin
Unknown,0,0,0,3,0,University of Texas at Austin
White,3,24,30,21,36,University of Texas at Austin
Total,13,26,40,88,46,University of Texas at Austin
Am. Ind./AN,0,0,0,0,0,University of Texas at El Paso
Asian,0,0,0,1,1,University of Texas at El Paso
Black,7,0,3,46,0,University of Texas at El Paso
Hispanic,0,0,4,9,0,University of Texas at El Paso
Nat. Haw./PI,0,0,0,2,0,University of Texas at El Paso
N-R Alien,1,0,9,1,2,University of Texas at El Paso
Two or More,1,0,1,4,0,University of Texas at El Paso
Unknown,0,0,0,1,0,University of Texas at El Paso
White,3,0,0,18,8,University of Texas at El Paso
Total,12,0,17,82,11,University of Texas at El Paso
Am. Ind./AN,0,0,0,0,0,University of Texas at San Antonio
Asian,0,0,1,0,0,University of Texas at San Antonio
Black,6,0,8,40,0,University of Texas at San Antonio
Hispanic,0,5,8,10,2,University of Texas at San Antonio
Nat. Haw./PI,0,0,0,0,0,University of Texas at San Antonio
N-R Alien,3,1,1,0,8,University of Texas at San Antonio
Two or More,0,0,0,0,1,University of Texas at San Antonio
Unknown,0,0,0,1,0,University of Texas at San Antonio
White,3,20,14,29,4,University of Texas at San Antonio
Total,12,26,32,80,15,University of Texas at San Antonio
Am. Ind./AN,0,0,0,2,0,University of Toledo
Asian,0,0,0,0,1,University of Toledo
Black,8,0,0,62,0,University of Toledo
Hispanic,0,0,0,2,0,University of Toledo
Nat. Haw./PI,0,0,0,0,0,University of Toledo
N-R Alien,1,1,1,0,7,University of Toledo
Two or More,1,1,0,4,0,University of Toledo
Unknown,0,0,1,4,1,University of Toledo
White,3,30,12,47,10,University of Toledo
Total,13,32,14,121,19,University of Toledo
Am. Ind./AN,0,0,0,2,0,University of Utah
Asian,0,3,0,43,5,University of Utah
Black,9,2,0,41,1,University of Utah
Hispanic,1,3,0,7,3,University of Utah
Nat. Haw./PI,0,0,0,2,0,University of Utah
N-R Alien,0,0,0,0,0,University of Utah
Two or More,0,0,0,0,0,University of Utah
Unknown,1,0,0,3,13,University of Utah
White,6,26,0,45,39,University of Utah
Total,17,34,0,143,61,University of Utah
Am. Ind./AN,0,0,1,0,1,University of Vermont
Asian,0,0,0,0,0,University of Vermont
Black,1,0,2,0,1,University of Vermont
Hispanic,0,0,0,0,0,University of Vermont
Nat. Haw./PI,0,0,0,0,1,University of Vermont
N-R Alien,0,0,1,0,23,University of Vermont
Two or More,1,0,0,0,1,University of Vermont
Unknown,1,0,0,0,5,University of Vermont
White,9,0,18,0,55,University of Vermont
Total,12,0,22,0,87,University of Vermont
Am. Ind./AN,0,0,0,0,1,University of Virginia
Asian,0,0,0,0,0,University of Virginia
Black,7,0,4,53,5,University of Virginia
Hispanic,0,1,0,2,2,University of Virginia
Nat. Haw./PI,0,0,0,0,0,University of Virginia
N-R Alien,0,1,3,3,7,University of Virginia
Two or More,1,0,0,0,4,University of Virginia
Unknown,0,1,1,6,14,University of Virginia
White,4,17,11,27,76,University of Virginia
Total,12,20,19,91,109,University of Virginia
Am. Ind./AN,0,0,0,1,0,University of Washington
Asian,0,2,2,2,0,University of Washington
Black,11,1,9,56,1,University of Washington
Hispanic,0,0,0,1,3,University of Washington
Nat. Haw./PI,0,0,0,14,0,University of Washington
N-R Alien,1,0,1,0,26,University of Washington
Two or More,0,0,0,1,0,University of Washington
Unknown,1,0,0,1,4,University of Washington
White,0,25,18,15,26,University of Washington
Total,13,28,30,91,60,University of Washington
Am. Ind./AN,1,0,0,0,0,University of Wisconsin-Green Bay
Asian,0,0,0,0,2,University of Wisconsin-Green Bay
Black,7,0,0,0,3,University of Wisconsin-Green Bay
Hispanic,0,0,0,0,0,University of Wisconsin-Green Bay
Nat. Haw./PI,0,0,0,0,0,University of Wisconsin-Green Bay
N-R Alien,1,0,0,0,12,University of Wisconsin-Green Bay
Two or More,2,0,1,0,2,University of Wisconsin-Green Bay
Unknown,0,0,0,0,0,University of Wisconsin-Green Bay
White,3,0,10,0,59,University of Wisconsin-Green Bay
Total,14,0,11,0,78,University of Wisconsin-Green Bay
Am. Ind./AN,1,0,1,2,0,University of Wisconsin-Madison
Asian,0,0,0,0,1,University of Wisconsin-Madison
Black,6,0,6,38,1,University of Wisconsin-Madison
Hispanic,0,0,0,1,5,University of Wisconsin-Madison
Nat. Haw./PI,0,0,0,0,0,University of Wisconsin-Madison
N-R Alien,0,0,2,0,14,University of Wisconsin-Madison
Two or More,0,0,0,0,0,University of Wisconsin-Madison
Unknown,0,0,0,0,1,University of Wisconsin-Madison
White,9,0,27,51,87,University of Wisconsin-Madison
Total,16,0,36,92,109,University of Wisconsin-Madison
Am. Ind./AN,0,0,0,0,0,University of Wisconsin-Milwaukee
Asian,0,0,0,0,0,University of Wisconsin-Milwaukee
Black,4,0,6,0,0,University of Wisconsin-Milwaukee
Hispanic,0,0,0,0,0,University of Wisconsin-Milwaukee
Nat. Haw./PI,0,0,0,0,0,University of Wisconsin-Milwaukee
N-R Alien,0,0,0,0,0,University of Wisconsin-Milwaukee
Two or More,0,0,0,0,0,University of Wisconsin-Milwaukee
Unknown,4,5,4,0,17,University of Wisconsin-Milwaukee
White,5,26,24,0,38,University of Wisconsin-Milwaukee
Total,13,31,34,0,55,University of Wisconsin-Milwaukee
Am. Ind./AN,0,0,0,0,1,University of Wyoming
Asian,0,0,0,0,1,University of Wyoming
Black,5,0,3,24,1,University of Wyoming
Hispanic,0,0,1,5,2,University of Wyoming
Nat. Haw./PI,0,0,0,5,1,University of Wyoming
N-R Alien,1,0,3,5,2,University of Wyoming
Two or More,2,0,2,6,3,University of Wyoming
Unknown,1,0,1,2,1,University of Wyoming
White,4,0,21,31,41,University of Wyoming
Total,13,0,31,78,53,University of Wyoming
Am. Ind./AN,0,0,0,0,0,University of the Incarnate Word
Asian,0,0,0,0,1,University of the Incarnate Word
Black,2,0,2,34,6,University of the Incarnate Word
Hispanic,1,4,5,9,12,University of the Incarnate Word
Nat. Haw./PI,0,0,0,1,0,University of the Incarnate Word
N-R Alien,1,0,0,1,21,University of the Incarnate Word
Two or More,0,0,0,4,0,University of the Incarnate Word
Unknown,1,4,0,2,2,University of the Incarnate Word
White,4,16,2,25,28,University of the Incarnate Word
Total,9,24,9,76,70,University of the Incarnate Word
Am. Ind./AN,0,0,0,0,0,University of the Pacific
Asian,0,0,0,0,8,University of the Pacific
Black,6,0,0,0,0,University of the Pacific
Hispanic,1,5,0,0,6,University of the Pacific
Nat. Haw./PI,0,0,0,0,0,University of the Pacific
N-R Alien,2,0,0,0,17,University of the Pacific
Two or More,0,1,0,0,1,University of the Pacific
Unknown,2,1,0,0,1,University of the Pacific
White,1,19,0,0,25,University of the Pacific
Total,12,26,0,0,58,University of the Pacific
Am. Ind./AN,0,0,1,0,0,Utah State University
Asian,0,0,0,0,0,Utah State University
Black,2,0,1,11,0,Utah State University
Hispanic,0,0,3,1,0,Utah State University
Nat. Haw./PI,0,0,0,3,0,Utah State University
N-R Alien,0,0,0,0,1,Utah State University
Two or More,1,0,0,0,0,Utah State University
Unknown,0,0,0,0,0,Utah State University
White,1,0,8,13,4,Utah State University
Total,4,0,13,28,5,Utah State University
Am. Ind./AN,0,0,0,0,0,Utah Valley University
Asian,0,0,0,0,0,Utah Valley University
Black,3,0,3,0,0,Utah Valley University
Hispanic,0,1,0,0,2,Utah Valley University
Nat. Haw./PI,1,0,0,0,1,Utah Valley University
N-R Alien,0,0,0,0,0,Utah Valley University
Two or More,0,2,0,0,1,Utah Valley University
Unknown,0,0,0,0,0,Utah Valley University
White,8,25,32,0,29,Utah Valley University
Total,12,28,35,0,33,Utah Valley University
Am. Ind./AN,0,0,0,0,0,Valparaiso University
Asian,0,1,0,0,1,Valparaiso University
Black,5,0,0,0,1,Valparaiso University
Hispanic,0,1,0,0,3,Valparaiso University
Nat. Haw./PI,0,0,0,0,0,Valparaiso University
N-R Alien,1,0,0,0,7,Valparaiso University
Two or More,0,4,0,0,4,Valparaiso University
Unknown,1,0,0,0,0,Valparaiso University
White,4,17,10,0,29,Valparaiso University
Total,11,23,10,0,45,Valparaiso University
Am. Ind./AN,0,0,0,0,0,Vanderbilt University
Asian,0,0,0,1,2,Vanderbilt University
Black,3,0,0,43,0,Vanderbilt University
Hispanic,0,2,0,0,0,Vanderbilt University
Nat. Haw./PI,0,0,0,0,0,Vanderbilt University
N-R Alien,1,0,0,0,3,Vanderbilt University
Two or More,1,1,0,0,0,Vanderbilt University
Unknown,1,0,0,10,3,Vanderbilt University
White,3,13,0,23,9,Vanderbilt University
Total,9,16,0,77,17,Vanderbilt University
Am. Ind./AN,0,0,0,0,0,Villanova University
Asian,0,0,0,0,1,Villanova University
Black,9,3,3,35,2,Villanova University
Hispanic,0,3,0,1,1,Villanova University
Nat. Haw./PI,0,0,0,0,0,Villanova University
N-R Alien,0,0,4,0,1,Villanova University
Two or More,0,0,0,2,1,Villanova University
Unknown,0,0,0,0,0,Villanova University
White,2,20,6,26,43,Villanova University
Total,11,26,13,64,49,Villanova University
Am. Ind./AN,0,0,0,0,0,Virginia Commonwealth University
Asian,0,1,0,0,1,Virginia Commonwealth University
Black,13,1,16,0,2,Virginia Commonwealth University
Hispanic,0,3,0,0,1,Virginia Commonwealth University
Nat. Haw./PI,0,0,0,0,0,Virginia Commonwealth University
N-R Alien,0,0,0,0,19,Virginia Commonwealth University
Two or More,0,0,0,0,0,Virginia Commonwealth University
Unknown,0,0,0,0,0,Virginia Commonwealth University
White,0,19,4,0,7,Virginia Commonwealth University
Total,13,24,20,0,30,Virginia Commonwealth University
Am. Ind./AN,0,0,0,0,0,Virginia Military Institute
Asian,0,0,1,0,0,Virginia Military Institute
Black,8,0,5,27,3,Virginia Military Institute
Hispanic,2,1,1,1,3,Virginia Military Institute
Nat. Haw./PI,0,0,0,0,0,Virginia Military Institute
N-R Alien,0,0,1,0,0,Virginia Military Institute
Two or More,1,0,1,3,1,Virginia Military Institute
Unknown,0,0,0,0,0,Virginia Military Institute
White,2,21,16,41,25,Virginia Military Institute
Total,13,22,25,72,32,Virginia Military Institute
Am. Ind./AN,0,0,0,0,0,Virginia Polytechnic Institute and State University
Asian,0,0,0,0,0,Virginia Polytechnic Institute and State University
Black,9,0,3,46,3,Virginia Polytechnic Institute and State University
Hispanic,0,1,0,1,8,Virginia Polytechnic Institute and State University
Nat. Haw./PI,0,0,0,1,0,Virginia Polytechnic Institute and State University
N-R Alien,1,0,5,2,11,Virginia Polytechnic Institute and State University
Two or More,1,1,1,4,2,Virginia Polytechnic Institute and State University
Unknown,1,1,0,4,0,Virginia Polytechnic Institute and State University
White,1,18,9,27,65,Virginia Polytechnic Institute and State University
Total,13,21,18,85,89,Virginia Polytechnic Institute and State University
Am. Ind./AN,1,0,0,0,0,Wagner College
Asian,0,0,0,1,0,Wagner College
Black,8,0,3,30,0,Wagner College
Hispanic,0,0,0,0,0,Wagner College
Nat. Haw./PI,0,0,0,0,0,Wagner College
N-R Alien,0,0,0,0,0,Wagner College
Two or More,1,0,0,3,0,Wagner College
Unknown,1,1,4,14,5,Wagner College
White,1,21,7,21,31,Wagner College
Total,12,22,14,69,36,Wagner College
Am. Ind./AN,0,0,0,0,0,Wake Forest University
Asian,0,0,0,0,1,Wake Forest University
Black,9,1,3,46,6,Wake Forest University
Hispanic,0,1,0,4,0,Wake Forest University
Nat. Haw./PI,0,0,0,0,0,Wake Forest University
N-R Alien,1,0,2,2,7,Wake Forest University
Two or More,0,1,1,0,2,Wake Forest University
Unknown,0,0,0,0,0,Wake Forest University
White,3,21,11,34,19,Wake Forest University
Total,13,24,17,86,35,Wake Forest University
Am. Ind./AN,0,0,0,2,0,Washington State University
Asian,0,0,0,0,0,Washington State University
Black,7,2,6,35,0,Washington State University
Hispanic,1,0,1,5,0,Washington State University
Nat. Haw./PI,0,0,0,10,0,Washington State University
N-R Alien,2,0,5,2,2,Washington State University
Two or More,1,3,3,10,1,Washington State University
Unknown,0,0,0,2,0,Washington State University
White,3,23,16,30,8,Washington State University
Total,14,28,31,96,11,Washington State University
Am. Ind./AN,0,0,0,0,0,Weber State University
Asian,0,0,0,1,1,Weber State University
Black,8,0,3,24,0,Weber State University
Hispanic,1,0,1,3,0,Weber State University
Nat. Haw./PI,0,0,0,12,0,Weber State University
N-R Alien,0,0,0,0,4,Weber State University
Two or More,1,0,4,13,0,Weber State University
Unknown,0,0,0,0,0,Weber State University
White,3,0,26,31,11,Weber State University
Total,13,0,34,84,16,Weber State University
Am. Ind./AN,0,1,0,0,0,West Virginia University
Asian,0,0,0,0,0,West Virginia University
Black,7,0,0,64,5,West Virginia University
Hispanic,1,2,0,1,5,West Virginia University
Nat. Haw./PI,0,0,0,0,0,West Virginia University
N-R Alien,1,1,0,1,13,West Virginia University
Two or More,0,0,0,3,1,West Virginia University
Unknown,0,0,0,1,0,West Virginia University
White,2,25,0,25,46,West Virginia University
Total,11,29,0,95,70,West Virginia University
Am. Ind./AN,0,1,1,0,0,Western Carolina University
Asian,0,0,0,0,1,Western Carolina University
Black,10,0,26,57,0,Western Carolina University
Hispanic,0,1,0,0,0,Western Carolina University
Nat. Haw./PI,0,0,0,0,0,Western Carolina University
N-R Alien,0,0,1,0,0,Western Carolina University
Two or More,0,2,1,3,0,Western Carolina University
Unknown,0,0,0,0,0,Western Carolina University
White,3,32,27,56,9,Western Carolina University
Total,13,36,56,116,10,Western Carolina University
Am. Ind./AN,0,0,0,0,0,Western Illinois University
Asian,0,0,0,0,1,Western Illinois University
Black,8,0,10,35,5,Western Illinois University
Hispanic,0,0,2,4,8,Western Illinois University
Nat. Haw./PI,0,0,0,0,0,Western Illinois University
N-R Alien,1,0,0,0,3,Western Illinois University
Two or More,0,0,0,3,1,Western Illinois University
Unknown,0,0,1,6,1,Western Illinois University
White,3,27,12,33,39,Western Illinois University
Total,12,27,25,81,58,Western Illinois University
Am. Ind./AN,0,0,0,0,0,Western Kentucky University
Asian,0,0,0,1,0,Western Kentucky University
Black,7,2,6,60,2,Western Kentucky University
Hispanic,0,0,0,2,0,Western Kentucky University
Nat. Haw./PI,0,0,0,0,0,Western Kentucky University
N-R Alien,4,2,4,0,6,Western Kentucky University
Two or More,1,1,0,0,3,Western Kentucky University
Unknown,0,2,2,2,0,Western Kentucky University
White,1,20,4,14,33,Western Kentucky University
Total,13,27,16,79,44,Western Kentucky University
Am. Ind./AN,0,0,0,0,0,Western Michigan University
Asian,0,0,0,0,1,Western Michigan University
Black,3,1,0,51,2,Western Michigan University
Hispanic,0,0,0,3,3,Western Michigan University
Nat. Haw./PI,0,0,0,0,0,Western Michigan University
N-R Alien,1,0,0,0,14,Western Michigan University
Two or More,0,0,0,2,0,Western Michigan University
Unknown,0,0,0,0,0,Western Michigan University
White,9,26,0,31,33,Western Michigan University
Total,13,27,0,87,53,Western Michigan University
Am. Ind./AN,0,0,0,0,0,Wichita State University
Asian,0,0,0,0,0,Wichita State University
Black,3,0,0,0,0,Wichita State University
Hispanic,0,0,0,0,0,Wichita State University
Nat. Haw./PI,0,0,0,0,0,Wichita State University
N-R Alien,0,0,0,0,0,Wichita State University
Two or More,0,0,0,0,0,Wichita State University
Unknown,0,0,0,0,3,Wichita State University
White,0,6,9,0,2,Wichita State University
Total,3,6,9,0,5,Wichita State University
Am. Ind./AN,0,0,0,1,0,William & Mary
Asian,0,0,0,0,6,William & Mary
Black,4,0,2,31,4,William & Mary
Hispanic,0,2,4,8,3,William & Mary
Nat. Haw./PI,0,0,0,0,0,William & Mary
N-R Alien,0,0,0,1,2,William & Mary
Two or More,0,2,1,1,2,William & Mary
Unknown,2,2,5,8,7,William & Mary
White,8,25,26,47,64,William & Mary
Total,14,31,38,97,88,William & Mary
Am. Ind./AN,0,0,0,0,0,Winthrop University
Asian,0,0,2,0,1,Winthrop University
Black,14,0,14,0,2,Winthrop University
Hispanic,0,1,0,0,2,Winthrop University
Nat. Haw./PI,0,0,0,0,0,Winthrop University
N-R Alien,1,0,3,0,22,Winthrop University
Two or More,0,0,0,0,0,Winthrop University
Unknown,0,0,0,0,0,Winthrop University
White,2,37,18,0,24,Winthrop University
Total,17,38,37,0,51,Winthrop University
Am. Ind./AN,0,0,0,0,0,Wofford College
Asian,0,0,0,0,1,Wofford College
Black,6,3,1,38,2,Wofford College
Hispanic,1,0,0,3,3,Wofford College
Nat. Haw./PI,0,1,0,0,0,Wofford College
N-R Alien,0,0,0,1,1,Wofford College
Two or More,1,1,0,3,1,Wofford College
Unknown,0,1,0,1,1,Wofford College
White,3,14,4,36,36,Wofford College
Total,11,20,5,82,45,Wofford College
Am. Ind./AN,0,0,0,0,0,Wright State University
Asian,0,0,0,0,0,Wright State University
Black,7,3,0,0,4,Wright State University
Hispanic,0,0,0,0,6,Wright State University
Nat. Haw./PI,0,0,0,0,0,Wright State University
N-R Alien,0,0,0,0,15,Wright State University
Two or More,0,2,0,0,3,Wright State University
Unknown,0,0,0,0,0,Wright State University
White,6,24,8,0,38,Wright State University
Total,13,29,8,0,66,Wright State University
Am. Ind./AN,0,0,0,0,0,Xavier University
Asian,0,0,0,0,3,Xavier University
Black,10,4,0,0,4,Xavier University
Hispanic,0,0,0,0,2,Xavier University
Nat. Haw./PI,0,0,0,0,0,Xavier University
N-R Alien,0,0,0,0,4,Xavier University
Two or More,1,0,0,0,1,Xavier University
Unknown,0,0,0,0,3,Xavier University
White,2,23,11,0,36,Xavier University
Total,13,27,11,0,53,Xavier University
Am. Ind./AN,0,1,1,0,0,Yale University
Asian,0,1,1,1,20,Yale University
Black,4,0,2,18,3,Yale University
Hispanic,1,3,3,6,12,Yale University
Nat. Haw./PI,0,0,0,0,0,Yale University
N-R Alien,0,0,4,1,37,Yale University
Two or More,2,0,3,10,6,Yale University
Unknown,0,0,2,1,3,Yale University
White,10,21,37,58,195,Yale University
Total,17,26,53,95,276,Yale University
Am. Ind./AN,0,0,1,0,0,Youngstown State University
Asian,0,1,0,1,1,Youngstown State University
Black,7,0,5,43,0,Youngstown State University
Hispanic,0,2,0,0,0,Youngstown State University
Nat. Haw./PI,0,0,0,1,0,Youngstown State University
N-R Alien,0,0,1,0,7,Youngstown State University
Two or More,0,0,0,1,1,Youngstown State University
Unknown,1,3,2,2,0,Youngstown State University
White,5,24,15,36,9,Youngstown State University
Total,13,30,24,84,18,Youngstown State University
