Race,Men Basketball 0,Men Baseball 0,Men CC/Track 0,Men Football 2,Men Other 0,School,Sport Category,Men Football 0,Men Other 1,Men Football 1,Men Other 2,Men Basketball 1,Men CC/Track 1,Men Baseball 1,Men Football 4,Men Other 4,Men CC/Track 3,Men Other 9,Men Football 3,Men Baseball 2,Men Baseball 7,Men Other 7
Black,5,2,,,,University of Iowa,Men,33,0,,,,7,,,,,,,,,
,,,,,,University of Iowa,Men,,,,,,,,,,,,,,,
Hispanic,0,1,,,,University of Iowa,Men,1,5,,,,1,,,,,,,,,
,,,,,,University of Iowa,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,,,,University of Iowa,Men,0,0,,,,0,,,,,,,,,
,,,,,,University of Iowa,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,,,,University of Iowa,Men,4,11,,,,1,,,,,,,,,
,,,,,,University of Iowa,Men,,,,,,,,,,,,,,,
Two or More,0,1,,,,University of Iowa,Men,3,2,,,,0,,,,,,,,,
,,,,,,University of Iowa,Men,,,,,,,,,,,,,,,
Unknown,1,1,,,,University of Iowa,Men,2,5,,,,0,,,,,,,,,
,,,,,,University of Iowa,Men,,,,,,,,,,,,,,,
White,6,19,,,,University of Iowa,Men,45,69,,,,23,,,,,,,,,
,,,,,,University of Iowa,Men,,,,,,,,,,,,,,,
Total,13,24,,,,University of Iowa,Men,88,93,,,,33,,,,,,,,,
,,,,,,University of Kansas,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,University of Kansas,Men,0,,,,,,,,,,,,,,
,,,,,,University of Kansas,Men,,,,,,,,,,,,,,,
Black,6,0,9,,0,University of Kansas,Men,51,,,,,,,,,,,,,,
,,,,,,University of Kansas,Men,,,,,,,,,,,,,,,
Hispanic,0,4,2,,0,University of Kansas,Men,1,,,,,,,,,,,,,,
,,,,,,University of Kansas,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,2,0,,0,University of Kansas,Men,4,,,,,,,,,,,,,,
,,,,,,University of Kansas,Men,,,,,,,,,,,,,,,
N-R Alien,2,1,5,,1,University of Kansas,Men,0,,,,,,,,,,,,,,
,,,,,,University of Kansas,Men,,,,,,,,,,,,,,,
Two or More,2,1,0,,0,University of Kansas,Men,3,,,,,,,,,,,,,,
,,,,,,University of Kansas,Men,,,,,,,,,,,,,,,
Unknown,0,0,1,,0,University of Kansas,Men,2,,,,,,,,,,,,,,
,,,,,,University of Kansas,Men,,,,,,,,,,,,,,,
White,2,20,20,,7,University of Kansas,Men,26,,,,,,,,,,,,,,
,,,,,,University of Kansas,Men,,,,,,,,,,,,,,,
Total,12,28,37,,8,University of Kansas,Men,87,,,,,,,,,,,,,,
,,,,,,University of Kentucky,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,University of Kentucky,Men,0,,,,,,,,,,,,,,
,,,,,,University of Kentucky,Men,,,,,,,,,,,,,,,
Black,7,2,9,,1,University of Kentucky,Men,16,,,,,,,,,,,,,,
,,,,,,University of Kentucky,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,0,University of Kentucky,Men,0,,,,,,,,,,,,,,
,,,,,,University of Kentucky,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,University of Kentucky,Men,0,,,,,,,,,,,,,,
,,,,,,University of Kentucky,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,4,University of Kentucky,Men,0,,,,,,,,,,,,,,
,,,,,,University of Kentucky,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,0,University of Kentucky,Men,1,,,,,,,,,,,,,,
,,,,,,University of Kentucky,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,University of Kentucky,Men,0,,,,,,,,,,,,,,
,,,,,,University of Kentucky,Men,,,,,,,,,,,,,,,
White,0,3,15,,9,University of Kentucky,Men,2,,,,,,,,,,,,,,
,,,,,,University of Kentucky,Men,,,,,,,,,,,,,,,
Total,8,5,24,,14,University of Kentucky,Men,19,,,,,,,,,,,,,,
,,,,,,University of Louisiana Monroe,Men,,,,,,,,,,,,,,,
Asian,0,0,,,1,University of Louisiana Monroe,Men,,,1,,,0,,,,,,,,,
,,,,,,University of Louisiana Monroe,Men,,,,,,,,,,,,,,,
Black,9,1,,,0,University of Louisiana Monroe,Men,,,57,,,13,,,,,,,,,
,,,,,,University of Louisiana Monroe,Men,,,,,,,,,,,,,,,
Hispanic,0,2,,,0,University of Louisiana Monroe,Men,,,0,,,0,,,,,,,,,
,,,,,,University of Louisiana Monroe,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,1,,,0,University of Louisiana Monroe,Men,,,0,,,0,,,,,,,,,
,,,,,,University of Louisiana Monroe,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,,,5,University of Louisiana Monroe,Men,,,0,,,6,,,,,,,,,
,,,,,,University of Louisiana Monroe,Men,,,,,,,,,,,,,,,
Two or More,0,0,,,0,University of Louisiana Monroe,Men,,,7,,,2,,,,,,,,,
,,,,,,University of Louisiana Monroe,Men,,,,,,,,,,,,,,,
Unknown,0,0,,,1,University of Louisiana Monroe,Men,,,2,,,0,,,,,,,,,
,,,,,,University of Louisiana Monroe,Men,,,,,,,,,,,,,,,
White,3,27,,,4,University of Louisiana Monroe,Men,,,18,,,4,,,,,,,,,
,,,,,,University of Louisiana Monroe,Men,,,,,,,,,,,,,,,
Total,13,31,,,11,University of Louisiana Monroe,Men,,,86,,,26,,,,,,,,,
,,,,,,University of Louisiana at Lafayette,Men,,,,,,,,,,,,,,,
Asian,,0,0,,0,University of Louisiana at Lafayette,Men,0,,,,0,,,,,,,,,,
,,,,,,University of Louisiana at Lafayette,Men,,,,,,,,,,,,,,,
Black,,1,9,,0,University of Louisiana at Lafayette,Men,69,,,,9,,,,,,,,,,
,,,,,,University of Louisiana at Lafayette,Men,,,,,,,,,,,,,,,
Hispanic,,1,0,,2,University of Louisiana at Lafayette,Men,1,,,,0,,,,,,,,,,
,,,,,,University of Louisiana at Lafayette,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,,0,0,,0,University of Louisiana at Lafayette,Men,0,,,,0,,,,,,,,,,
,,,,,,University of Louisiana at Lafayette,Men,,,,,,,,,,,,,,,
N-R Alien,,0,0,,4,University of Louisiana at Lafayette,Men,1,,,,1,,,,,,,,,,
,,,,,,University of Louisiana at Lafayette,Men,,,,,,,,,,,,,,,
Two or More,,0,1,,0,University of Louisiana at Lafayette,Men,0,,,,0,,,,,,,,,,
,,,,,,University of Louisiana at Lafayette,Men,,,,,,,,,,,,,,,
Unknown,,0,0,,2,University of Louisiana at Lafayette,Men,1,,,,1,,,,,,,,,,
,,,,,,University of Louisiana at Lafayette,Men,,,,,,,,,,,,,,,
White,,23,20,,11,University of Louisiana at Lafayette,Men,21,,,,1,,,,,,,,,,
,,,,,,University of Louisiana at Lafayette,Men,,,,,,,,,,,,,,,
Total,,25,30,,19,University of Louisiana at Lafayette,Men,93,,,,13,,,,,,,,,,
,,,,,,University of Louisville,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,University of Louisville,Men,0,,,,,,,,,,,,,,
,,,,,,University of Louisville,Men,,,,,,,,,,,,,,,
Black,3,1,1,,2,University of Louisville,Men,10,,,,,,,,,,,,,,
,,,,,,University of Louisville,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,4,University of Louisville,Men,1,,,,,,,,,,,,,,
,,,,,,University of Louisville,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,University of Louisville,Men,0,,,,,,,,,,,,,,
,,,,,,University of Louisville,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,1,,4,University of Louisville,Men,0,,,,,,,,,,,,,,
,,,,,,University of Louisville,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,University of Louisville,Men,0,,,,,,,,,,,,,,
,,,,,,University of Louisville,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,University of Louisville,Men,0,,,,,,,,,,,,,,
,,,,,,University of Louisville,Men,,,,,,,,,,,,,,,
White,0,9,2,,9,University of Louisville,Men,4,,,,,,,,,,,,,,
,,,,,,University of Louisville,Men,,,,,,,,,,,,,,,
Total,3,10,4,,19,University of Louisville,Men,15,,,,,,,,,,,,,,
,,,,,,University of Maine,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,University of Maine,Men,0,0,,,,,,,,,,,,,
,,,,,,University of Maine,Men,,,,,,,,,,,,,,,
Black,1,0,2,,,University of Maine,Men,39,0,,,,,,,,,,,,,
,,,,,,University of Maine,Men,,,,,,,,,,,,,,,
Hispanic,0,0,1,,,University of Maine,Men,1,0,,,,,,,,,,,,,
,,,,,,University of Maine,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,University of Maine,Men,0,0,,,,,,,,,,,,,
,,,,,,University of Maine,Men,,,,,,,,,,,,,,,
N-R Alien,9,10,0,,,University of Maine,Men,3,8,,,,,,,,,,,,,
,,,,,,University of Maine,Men,,,,,,,,,,,,,,,
Two or More,1,1,0,,,University of Maine,Men,7,0,,,,,,,,,,,,,
,,,,,,University of Maine,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,,University of Maine,Men,0,0,,,,,,,,,,,,,
,,,,,,University of Maine,Men,,,,,,,,,,,,,,,
White,1,14,13,,,University of Maine,Men,41,30,,,,,,,,,,,,,
,,,,,,University of Maine,Men,,,,,,,,,,,,,,,
Total,12,25,16,,,University of Maine,Men,91,39,,,,,,,,,,,,,
,,,,,,University of Maryland Baltimore County,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,2,University of Maryland Baltimore County,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Baltimore County,Men,,,,,,,,,,,,,,,
Black,9,2,11,,10,University of Maryland Baltimore County,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Baltimore County,Men,,,,,,,,,,,,,,,
Hispanic,0,1,0,,1,University of Maryland Baltimore County,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Baltimore County,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,University of Maryland Baltimore County,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Baltimore County,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,1,,16,University of Maryland Baltimore County,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Baltimore County,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,0,University of Maryland Baltimore County,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Baltimore County,Men,,,,,,,,,,,,,,,
Unknown,0,1,2,,2,University of Maryland Baltimore County,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Baltimore County,Men,,,,,,,,,,,,,,,
White,4,21,12,,48,University of Maryland Baltimore County,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Baltimore County,Men,,,,,,,,,,,,,,,
Total,14,25,26,,79,University of Maryland Baltimore County,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland College Park,Men,,,,,,,,,,,,,,,
Asian,1,0,0,,,University of Maryland College Park,Men,0,,,1,,,,,,,,,,,
,,,,,,University of Maryland College Park,Men,,,,,,,,,,,,,,,
Black,6,0,5,,,University of Maryland College Park,Men,51,,,6,,,,,,,,,,,
,,,,,,University of Maryland College Park,Men,,,,,,,,,,,,,,,
Hispanic,0,3,0,,,University of Maryland College Park,Men,3,,,1,,,,,,,,,,,
,,,,,,University of Maryland College Park,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,University of Maryland College Park,Men,0,,,0,,,,,,,,,,,
,,,,,,University of Maryland College Park,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,1,,,University of Maryland College Park,Men,1,,,6,,,,,,,,,,,
,,,,,,University of Maryland College Park,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,,University of Maryland College Park,Men,4,,,2,,,,,,,,,,,
,,,,,,University of Maryland College Park,Men,,,,,,,,,,,,,,,
Unknown,1,0,0,,,University of Maryland College Park,Men,1,,,0,,,,,,,,,,,
,,,,,,University of Maryland College Park,Men,,,,,,,,,,,,,,,
White,4,17,4,,,University of Maryland College Park,Men,23,,,68,,,,,,,,,,,
,,,,,,University of Maryland College Park,Men,,,,,,,,,,,,,,,
Total,14,20,10,,,University of Maryland College Park,Men,83,,,86,,,,,,,,,,,
,,,,,,University of Maryland Eastern Shore,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,University of Maryland Eastern Shore,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Eastern Shore,Men,,,,,,,,,,,,,,,
Black,0,0,0,,0,University of Maryland Eastern Shore,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Eastern Shore,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,0,University of Maryland Eastern Shore,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Eastern Shore,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,University of Maryland Eastern Shore,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Eastern Shore,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,University of Maryland Eastern Shore,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Eastern Shore,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,University of Maryland Eastern Shore,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Eastern Shore,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,University of Maryland Eastern Shore,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Eastern Shore,Men,,,,,,,,,,,,,,,
White,0,0,0,,0,University of Maryland Eastern Shore,Men,0,,,,,,,,,,,,,,
,,,,,,University of Maryland Eastern Shore,Men,,,,,,,,,,,,,,,
Total,0,0,0,,0,University of Maryland Eastern Shore,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Amherst,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,3,University of Massachusetts Amherst,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Amherst,Men,,,,,,,,,,,,,,,
Black,11,0,0,,0,University of Massachusetts Amherst,Men,52,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Amherst,Men,,,,,,,,,,,,,,,
Hispanic,0,0,1,,2,University of Massachusetts Amherst,Men,1,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Amherst,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,University of Massachusetts Amherst,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Amherst,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,3,University of Massachusetts Amherst,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Amherst,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,1,University of Massachusetts Amherst,Men,2,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Amherst,Men,,,,,,,,,,,,,,,
Unknown,0,0,1,,1,University of Massachusetts Amherst,Men,1,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Amherst,Men,,,,,,,,,,,,,,,
White,2,13,9,,81,University of Massachusetts Amherst,Men,29,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Amherst,Men,,,,,,,,,,,,,,,
Total,13,13,11,,91,University of Massachusetts Amherst,Men,85,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Lowell,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,University of Massachusetts Lowell,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Lowell,Men,,,,,,,,,,,,,,,
Black,7,0,2,,2,University of Massachusetts Lowell,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Lowell,Men,,,,,,,,,,,,,,,
Hispanic,0,1,0,,6,University of Massachusetts Lowell,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Lowell,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,University of Massachusetts Lowell,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Lowell,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,1,,3,University of Massachusetts Lowell,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Lowell,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,University of Massachusetts Lowell,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Lowell,Men,,,,,,,,,,,,,,,
Unknown,0,0,2,,1,University of Massachusetts Lowell,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Lowell,Men,,,,,,,,,,,,,,,
White,2,18,21,,33,University of Massachusetts Lowell,Men,0,,,,,,,,,,,,,,
,,,,,,University of Massachusetts Lowell,Men,,,,,,,,,,,,,,,
Total,9,19,26,,45,University of Massachusetts Lowell,Men,0,,,,,,,,,,,,,,
,,,,,,University of Memphis,Men,,,,,,,,,,,,,,,
Asian,0,0,,,,University of Memphis,Men,0,0,,,,2,,,,,,,,,
,,,,,,University of Memphis,Men,,,,,,,,,,,,,,,
Black,15,1,,,,University of Memphis,Men,85,4,,,,8,,,,,,,,,
,,,,,,University of Memphis,Men,,,,,,,,,,,,,,,
Hispanic,0,1,,,,University of Memphis,Men,2,6,,,,1,,,,,,,,,
,,,,,,University of Memphis,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,,,,University of Memphis,Men,0,0,,,,0,,,,,,,,,
,,,,,,University of Memphis,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,,,,University of Memphis,Men,1,17,,,,10,,,,,,,,,
,,,,,,University of Memphis,Men,,,,,,,,,,,,,,,
Two or More,0,1,,,,University of Memphis,Men,6,1,,,,3,,,,,,,,,
,,,,,,University of Memphis,Men,,,,,,,,,,,,,,,
Unknown,0,0,,,,University of Memphis,Men,0,0,,,,0,,,,,,,,,
,,,,,,University of Memphis,Men,,,,,,,,,,,,,,,
White,2,33,,,,University of Memphis,Men,37,24,,,,17,,,,,,,,,
,,,,,,University of Memphis,Men,,,,,,,,,,,,,,,
Total,17,36,,,,University of Memphis,Men,131,53,,,,42,,,,,,,,,
,,,,,,University of Miami (Florida),Men,,,,,,,,,,,,,,,
Asian,0,,0,,0,University of Miami (Florida),Men,0,,,,,,0,,,,,,,,
,,,,,,University of Miami (Florida),Men,,,,,,,,,,,,,,,
Black,6,,7,,0,University of Miami (Florida),Men,50,,,,,,2,,,,,,,,
,,,,,,University of Miami (Florida),Men,,,,,,,,,,,,,,,
Hispanic,2,,0,,2,University of Miami (Florida),Men,1,,,,,,14,,,,,,,,
,,,,,,University of Miami (Florida),Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,,0,,0,University of Miami (Florida),Men,0,,,,,,0,,,,,,,,
,,,,,,University of Miami (Florida),Men,,,,,,,,,,,,,,,
N-R Alien,2,,2,,3,University of Miami (Florida),Men,1,,,,,,0,,,,,,,,
,,,,,,University of Miami (Florida),Men,,,,,,,,,,,,,,,
Two or More,0,,0,,0,University of Miami (Florida),Men,0,,,,,,0,,,,,,,,
,,,,,,University of Miami (Florida),Men,,,,,,,,,,,,,,,
Unknown,0,,0,,1,University of Miami (Florida),Men,7,,,,,,2,,,,,,,,
,,,,,,University of Miami (Florida),Men,,,,,,,,,,,,,,,
White,1,,4,,3,University of Miami (Florida),Men,18,,,,,,11,,,,,,,,
,,,,,,University of Miami (Florida),Men,,,,,,,,,,,,,,,
Total,11,,13,,9,University of Miami (Florida),Men,77,,,,,,30,,,,,,,,
,,,,,,University of Michigan,Men,,,,,,,,,,,,,,,
Asian,0,0,1,,3,University of Michigan,Men,1,,,,,,,,,,,,,,
,,,,,,University of Michigan,Men,,,,,,,,,,,,,,,
Black,4,0,7,,2,University of Michigan,Men,44,,,,,,,,,,,,,,
,,,,,,University of Michigan,Men,,,,,,,,,,,,,,,
Hispanic,1,1,1,,8,University of Michigan,Men,0,,,,,,,,,,,,,,
,,,,,,University of Michigan,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,University of Michigan,Men,0,,,,,,,,,,,,,,
,,,,,,University of Michigan,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,1,,21,University of Michigan,Men,0,,,,,,,,,,,,,,
,,,,,,University of Michigan,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,4,University of Michigan,Men,3,,,,,,,,,,,,,,
,,,,,,University of Michigan,Men,,,,,,,,,,,,,,,
Unknown,0,3,2,,13,University of Michigan,Men,5,,,,,,,,,,,,,,
,,,,,,University of Michigan,Men,,,,,,,,,,,,,,,
White,4,18,16,,83,University of Michigan,Men,26,,,,,,,,,,,,,,
,,,,,,University of Michigan,Men,,,,,,,,,,,,,,,
Total,10,22,28,,134,University of Michigan,Men,79,,,,,,,,,,,,,,
,,,,,,University of Minnesota Twin Cities,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,2,University of Minnesota Twin Cities,Men,,,0,,,,,,,,,,,,
,,,,,,University of Minnesota Twin Cities,Men,,,,,,,,,,,,,,,
Black,7,0,5,,4,University of Minnesota Twin Cities,Men,,,42,,,,,,,,,,,,
,,,,,,University of Minnesota Twin Cities,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,9,University of Minnesota Twin Cities,Men,,,2,,,,,,,,,,,,
,,,,,,University of Minnesota Twin Cities,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,University of Minnesota Twin Cities,Men,,,0,,,,,,,,,,,,
,,,,,,University of Minnesota Twin Cities,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,2,,10,University of Minnesota Twin Cities,Men,,,0,,,,,,,,,,,,
,,,,,,University of Minnesota Twin Cities,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,University of Minnesota Twin Cities,Men,,,9,,,,,,,,,,,,
,,,,,,University of Minnesota Twin Cities,Men,,,,,,,,,,,,,,,
Unknown,1,0,1,,1,University of Minnesota Twin Cities,Men,,,0,,,,,,,,,,,,
,,,,,,University of Minnesota Twin Cities,Men,,,,,,,,,,,,,,,
White,3,26,37,,95,University of Minnesota Twin Cities,Men,,,41,,,,,,,,,,,,
,,,,,,University of Minnesota Twin Cities,Men,,,,,,,,,,,,,,,
Total,13,26,45,,121,University of Minnesota Twin Cities,Men,,,95,,,,,,,,,,,,
,,,,,,University of Mississippi,Men,,,,,,,,,,,,,,,
Asian,,,,,1,University of Mississippi,Men,0,,,,0,0,0,,,,,,,,
,,,,,,University of Mississippi,Men,,,,,,,,,,,,,,,
Black,,,,,0,University of Mississippi,Men,53,,,,9,16,1,,,,,,,,
,,,,,,University of Mississippi,Men,,,,,,,,,,,,,,,
Hispanic,,,,,0,University of Mississippi,Men,0,,,,2,0,0,,,,,,,,
,,,,,,University of Mississippi,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,,,,,0,University of Mississippi,Men,0,,,,0,0,0,,,,,,,,
,,,,,,University of Mississippi,Men,,,,,,,,,,,,,,,
N-R Alien,,,,,0,University of Mississippi,Men,0,,,,0,0,0,,,,,,,,
,,,,,,University of Mississippi,Men,,,,,,,,,,,,,,,
Two or More,,,,,0,University of Mississippi,Men,5,,,,0,1,0,,,,,,,,
,,,,,,University of Mississippi,Men,,,,,,,,,,,,,,,
Unknown,,,,,0,University of Mississippi,Men,3,,,,0,1,0,,,,,,,,
,,,,,,University of Mississippi,Men,,,,,,,,,,,,,,,
White,,,,,17,University of Mississippi,Men,17,,,,1,18,24,,,,,,,,
,,,,,,University of Mississippi,Men,,,,,,,,,,,,,,,
Total,,,,,18,University of Mississippi,Men,78,,,,13,37,26,,,,,,,,
,,,,,,University of Missouri-Kansas City,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,University of Missouri-Kansas City,Men,0,,,,,,,,,,,,,,
,,,,,,University of Missouri-Kansas City,Men,,,,,,,,,,,,,,,
Black,5,0,0,,2,University of Missouri-Kansas City,Men,0,,,,,,,,,,,,,,
,,,,,,University of Missouri-Kansas City,Men,,,,,,,,,,,,,,,
Hispanic,1,0,1,,4,University of Missouri-Kansas City,Men,0,,,,,,,,,,,,,,
,,,,,,University of Missouri-Kansas City,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,University of Missouri-Kansas City,Men,0,,,,,,,,,,,,,,
,,,,,,University of Missouri-Kansas City,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,16,University of Missouri-Kansas City,Men,0,,,,,,,,,,,,,,
,,,,,,University of Missouri-Kansas City,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,0,University of Missouri-Kansas City,Men,0,,,,,,,,,,,,,,
,,,,,,University of Missouri-Kansas City,Men,,,,,,,,,,,,,,,
Unknown,1,0,0,,2,University of Missouri-Kansas City,Men,0,,,,,,,,,,,,,,
,,,,,,University of Missouri-Kansas City,Men,,,,,,,,,,,,,,,
White,4,0,6,,12,University of Missouri-Kansas City,Men,0,,,,,,,,,,,,,,
,,,,,,University of Missouri-Kansas City,Men,,,,,,,,,,,,,,,
Total,12,0,7,,36,University of Missouri-Kansas City,Men,0,,,,,,,,,,,,,,
,,,,,,University of Missouri Columbia,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,University of Missouri Columbia,Men,0,1,,,,,,,,,,,,,
,,,,,,University of Missouri Columbia,Men,,,,,,,,,,,,,,,
Black,10,1,3,,,University of Missouri Columbia,Men,49,3,,,,,,,,,,,,,
,,,,,,University of Missouri Columbia,Men,,,,,,,,,,,,,,,
Hispanic,0,1,0,,,University of Missouri Columbia,Men,0,0,,,,,,,,,,,,,
,,,,,,University of Missouri Columbia,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,University of Missouri Columbia,Men,0,0,,,,,,,,,,,,,
,,,,,,University of Missouri Columbia,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,4,,,University of Missouri Columbia,Men,0,7,,,,,,,,,,,,,
,,,,,,University of Missouri Columbia,Men,,,,,,,,,,,,,,,
Two or More,0,0,1,,,University of Missouri Columbia,Men,2,1,,,,,,,,,,,,,
,,,,,,University of Missouri Columbia,Men,,,,,,,,,,,,,,,
Unknown,0,2,1,,,University of Missouri Columbia,Men,1,2,,,,,,,,,,,,,
,,,,,,University of Missouri Columbia,Men,,,,,,,,,,,,,,,
White,1,24,16,,,University of Missouri Columbia,Men,24,44,,,,,,,,,,,,,
,,,,,,University of Missouri Columbia,Men,,,,,,,,,,,,,,,
Total,13,28,25,,,University of Missouri Columbia,Men,76,59,,,,,,,,,,,,,
,,,,,,University of Montana,Men,,,,,,,,,,,,,,,
Asian,0,0,,,0,University of Montana,Men,2,,,,,0,,,,,,,,,
,,,,,,University of Montana,Men,,,,,,,,,,,,,,,
Black,4,0,,,0,University of Montana,Men,18,,,,,1,,,,,,,,,
,,,,,,University of Montana,Men,,,,,,,,,,,,,,,
Hispanic,0,0,,,0,University of Montana,Men,2,,,,,3,,,,,,,,,
,,,,,,University of Montana,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,,,0,University of Montana,Men,4,,,,,0,,,,,,,,,
,,,,,,University of Montana,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,,,5,University of Montana,Men,0,,,,,0,,,,,,,,,
,,,,,,University of Montana,Men,,,,,,,,,,,,,,,
Two or More,1,0,,,0,University of Montana,Men,7,,,,,1,,,,,,,,,
,,,,,,University of Montana,Men,,,,,,,,,,,,,,,
Unknown,0,0,,,0,University of Montana,Men,0,,,,,0,,,,,,,,,
,,,,,,University of Montana,Men,,,,,,,,,,,,,,,
White,6,0,,,3,University of Montana,Men,55,,,,,31,,,,,,,,,
,,,,,,University of Montana,Men,,,,,,,,,,,,,,,
Total,13,0,,,8,University of Montana,Men,88,,,,,37,,,,,,,,,
,,,,,,University of Nebraska-Lincoln,Men,,,,,,,,,,,,,,,
