Race,"All Students, Men 2017-18 N","All Students 2017-18, Men %","All Students, Men 4-Class N","All Students, Men %","All Studens, Women 2017-18 N","All Students, Women 2017-2018 %","All Students, Women 4-Class N","All Students, Women 4-Class %","All Students, Total 2017-18 N","All Students, Total 2017-18 %","All Students, Total 4-Class N","All Students, Total 4-Class %",Source_All,School_All,Student-Athletes Men 17-18 N,Student-Athletes Men 17-18 %,Student-Athletes Men 4-Class N,Student-Athletes  Men 4-Class %,Student-Athletes Men GSR N,Student-Athletes Men GSR %,Student-Athletes Women 17-18 N,Student-Athletes Women 17-18 %,Student-Athletes Women 4-Class N,Student-Athletes Women 4-Class %,Student-Athletes Women GSR N,Student-Athletes Women GSR %,Student-Athletes Total 17-18 N,Student-Athletes Total 17-18 %,Student-Athletes Total 4-Class N,Student-Athletes Total 4-Class %,Student-Athletes Total GSR N,Student-Athletes Total GSR %,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Total,646,30,2258,32,772,36,2873,39,1418,33,5131,36,All Students,University of South Alabama,15,40,47,43,81,65,19,53,83,60,106,79,34,47,130,54,187,73,Student-Athletes,University of South Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1573,71,6214,68,2117,74,8129,73,3690,73,14343,71,All Students,University of South Carolina Columbia,46,54,198,56,183,79,41,61,171,73,151,93,87,57,369,63,334,85,Student-Athletes,University of South Carolina Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,317,32,1095,33,488,46,1852,42,805,40,2947,39,All Students,University of South Carolina Upstate,38,39,95,47,105,70,35,46,97,49,100,78,73,42,192,48,205,74,Student-Athletes,University of South Carolina Upstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,413,53,1655,47,520,55,2212,53,933,54,3867,51,All Students,University of South Dakota,36,64,159,55,219,67,34,74,148,66,200,82,70,69,307,60,419,74,Student-Athletes,University of South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1574,58,6756,49,2180,67,8950,60,3754,63,15706,56,All Students,University of South Florida,46,63,206,46,178,73,37,65,177,68,161,93,83,64,383,56,339,83,Student-Athletes,University of South Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1419,89,5433,88,1536,93,5769,92,2955,91,11202,90,All Students,University of Southern California,50,68,176,57,171,73,30,93,117,81,130,90,80,78,293,67,301,80,Student-Athletes,University of Southern California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2116,66,6327,62,2215,69,6714,67,4331,68,13041,65,All Students,University of Tennessee Knoxville,45,51,166,54,167,68,36,78,147,65,112,94,81,63,313,59,279,78,Student-Athletes,University of Tennessee Knoxville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,790,32,2731,33,1146,40,3927,41,1936,37,6658,38,All Students,University of Tennessee at Chattanooga,30,53,114,44,138,59,32,53,90,59,76,82,62,53,204,50,214,67,Student-Athletes,University of Tennessee at Chattanooga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,591,46,2156,47,692,47,2738,47,1283,46,4894,47,All Students,University of Tennessee at Martin,37,51,127,47,152,63,22,41,92,53,74,85,59,47,219,50,226,70,Student-Athletes,University of Tennessee at Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1055,38,4025,35,1041,45,4201,43,2096,42,8226,39,All Students,University of Texas at Arlington,16,63,83,47,104,72,21,71,93,62,87,82,37,68,176,55,191,76,Student-Athletes,University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3446,76,13008,77,3973,82,15304,82,7419,79,28312,80,All Students,University of Texas at Austin,58,60,216,61,213,76,35,83,150,80,145,94,93,69,366,69,358,83,Student-Athletes,University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,971,33,4321,32,1046,45,4592,43,2017,39,8913,37,All Students,University of Texas at El Paso,23,52,84,56,115,67,24,54,102,56,103,83,47,53,186,56,218,75,Student-Athletes,University of Texas at El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2524,26,9006,25,2309,34,9067,31,4833,30,18073,28,All Students,University of Texas at San Antonio,25,44,93,45,112,62,33,58,108,54,110,71,58,52,201,50,222,66,Student-Athletes,University of Texas at San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1707,45,6378,44,1678,48,6097,48,3385,46,12475,46,All Students,University of Toledo,37,57,151,61,145,72,47,79,144,75,141,84,84,69,295,68,286,78,Student-Athletes,University of Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,871,59,3496,56,1082,62,4488,59,1953,60,7984,58,All Students,University of Utah,27,56,110,55,133,75,26,73,124,70,120,88,53,64,234,63,253,81,Student-Athletes,University of Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1086,75,3975,73,1346,77,4963,76,2432,76,8938,75,All Students,University of Vermont,31,55,113,54,79,77,41,73,147,81,120,95,72,65,260,69,199,88,Student-Athletes,University of Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1398,92,5511,92,1848,94,7000,95,3246,93,12511,93,All Students,University of Virginia,69,74,267,70,240,81,56,84,204,83,193,93,125,78,471,76,433,86,Student-Athletes,University of Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2417,81,9400,78,2796,83,10865,82,5213,82,20265,80,All Students,University of Washington,58,62,220,60,194,70,42,74,170,79,141,95,100,67,390,68,335,80,Student-Athletes,University of Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,343,41,1365,48,644,50,2534,51,987,46,3899,50,All Students,University of Wisconsin-Green Bay,21,71,79,70,75,88,41,63,126,71,111,91,62,66,205,71,186,90,Student-Athletes,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2783,81,10575,81,3197,84,12806,84,5980,83,23381,83,All Students,University of Wisconsin-Madison,52,50,226,61,196,76,45,82,182,84,179,93,97,65,408,71,375,84,Student-Athletes,University of Wisconsin-Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1847,46,7511,42,1859,46,8194,43,3706,46,15705,43,All Students,University of Wisconsin-Milwaukee,27,41,75,51,78,65,34,68,110,69,98,84,61,56,185,62,176,76,Student-Athletes,University of Wisconsin-Milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,783,51,2967,50,831,57,3085,58,1614,54,6052,54,All Students,University of Wyoming,47,74,147,54,156,69,40,70,141,67,121,87,87,72,288,60,277,77,Student-Athletes,University of Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,252,37,750,36,463,42,1629,45,715,40,2379,42,All Students,University of the Incarnate Word,28,86,115,56,228,68,27,93,131,66,209,78,55,89,246,61,437,73,Student-Athletes,University of the Incarnate Word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,292,57,1182,63,294,69,1446,69,586,63,2628,66,All Students,University of the Pacific,25,48,86,55,101,84,30,73,128,74,132,89,55,62,214,66,233,87,Student-Athletes,University of the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,734,49,2472,49,1434,51,4862,53,2168,51,7334,52,All Students,Utah State University,33,73,99,67,131,88,32,78,123,69,124,85,65,75,222,68,255,87,Student-Athletes,Utah State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,401,17,1273,20,377,26,1069,24,778,22,2342,22,All Students,Utah Valley University,10,40,38,39,40,58,37,51,121,45,105,68,47,49,159,44,145,65,Student-Athletes,Utah Valley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,343,71,1419,68,370,69,1472,74,713,70,2891,71,All Students,Valparaiso University,28,68,86,63,181,87,24,67,108,76,95,94,52,67,194,70,276,89,Student-Athletes,Valparaiso University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,742,92,3056,91,929,93,3421,92,1671,93,6477,92,All Students,Vanderbilt University,33,70,153,67,124,85,28,93,101,87,94,98,61,80,254,75,218,90,Student-Athletes,Vanderbilt University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,784,90,3212,88,819,91,3302,91,1603,90,6514,90,All Students,Villanova University,33,91,131,85,159,94,26,92,105,92,132,98,59,92,236,88,291,96,Student-Athletes,Villanova University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1645,53,5802,49,2205,60,8327,58,3850,57,14129,54,All Students,Virginia Commonwealth University,23,48,70,50,95,71,18,50,89,54,85,81,41,49,159,52,180,76,Student-Athletes,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,374,76,1389,72,36,69,134,65,410,76,1523,72,All Students,Virginia Military Institute,61,74,204,59,200,75,9,89,30,83,31,84,70,76,234,62,231,76,Student-Athletes,Virginia Military Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2799,79,11185,79,2253,87,8737,86,5052,83,19922,82,All Students,Virginia Polytechnic Institute and State University,71,55,214,58,187,82,32,84,145,84,133,97,103,64,359,69,320,88,Student-Athletes,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,196,59,789,62,332,63,1333,66,528,61,2122,65,All Students,Wagner College,31,71,113,72,98,92,42,69,159,72,130,92,73,70,272,72,228,92,Student-Athletes,Wagner College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,550,87,2199,87,573,86,2268,88,1123,86,4467,88,All Students,Wake Forest University,37,76,170,76,156,92,26,81,101,80,86,98,63,78,271,77,242,94,Student-Athletes,Wake Forest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1596,61,5827,63,1588,70,5977,71,3184,65,11804,67,All Students,Washington State University,41,51,157,59,164,70,35,60,147,71,133,87,76,55,304,65,297,77,Student-Athletes,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,581,28,1600,33,783,39,2149,46,1364,35,3749,40,All Students,Weber State University,20,50,85,48,111,56,22,45,103,54,91,78,42,48,188,52,202,66,Student-Athletes,Weber State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2492,53,9755,53,2134,62,8389,62,4626,57,18144,57,All Students,West Virginia University,36,47,167,57,152,78,26,85,118,75,114,89,62,63,285,65,266,83,Student-Athletes,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,602,44,2934,47,649,59,3018,57,1251,52,5952,52,All Students,Western Carolina University,42,38,171,46,157,72,28,54,133,65,109,95,70,44,304,54,266,82,Student-Athletes,Western Carolina University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,991,53,3940,54,952,60,3773,57,1943,56,7713,56,All Students,Western Illinois University,37,70,162,64,237,71,32,69,138,73,138,86,69,70,300,68,375,77,Student-Athletes,Western Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1017,47,3988,47,1403,53,5389,52,2420,50,9377,50,All Students,Western Kentucky University,47,45,177,53,163,72,27,59,130,72,129,89,74,50,307,61,292,80,Student-Athletes,Western Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1723,52,7092,51,1750,58,7339,58,3473,55,14431,55,All Students,Western Michigan University,30,60,140,66,143,78,29,90,116,80,111,90,59,75,256,72,254,83,Student-Athletes,Western Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,542,42,2052,39,601,51,2420,47,1143,46,4472,43,All Students,Wichita State University,22,55,96,45,91,76,20,45,96,63,104,88,42,50,192,54,195,83,Student-Athletes,Wichita State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,612,87,2537,87,729,92,2819,93,1341,90,5356,90,All Students,William & Mary,35,74,149,75,180,87,36,92,146,89,169,96,71,83,295,82,349,91,Student-Athletes,William & Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,340,48,1226,49,734,60,3042,58,1074,56,4268,55,All Students,Winthrop University,28,50,110,51,115,83,23,78,116,69,107,89,51,63,226,60,222,86,Student-Athletes,Winthrop University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,192,80,733,79,193,83,672,85,385,82,1405,82,All Students,Wofford College,45,80,166,75,146,93,20,85,68,82,61,97,65,82,234,77,207,94,Student-Athletes,Wofford College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1032,40,3943,39,1339,43,5169,44,2371,41,9112,42,All Students,Wright State University,27,78,90,63,110,77,35,77,105,73,118,80,62,77,195,69,228,79,Student-Athletes,Wright State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,411,76,1507,75,441,77,1790,80,852,76,3297,78,All Students,Xavier University,27,81,102,76,88,92,34,76,117,80,103,95,61,79,219,79,191,94,Student-Athletes,Xavier University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,652,97,2654,96,661,99,2598,97,1313,98,5252,97,All Students,Yale University,0,-,0,-,569,97,0,-,0,-,415,99,0,-,0,-,984,98,Student-Athletes,Yale University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,908,31,3570,32,1012,35,3944,37,1920,33,7514,34,All Students,Youngstown State University,39,62,126,56,143,66,26,69,130,74,126,87,65,65,256,65,269,76,Student-Athletes,Youngstown State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,408,52,1778,53,476,60,2115,63,884,57,3893,58,All Students,Abilene Christian University,57,49,145,51,286,59,23,70,65,71,115,82,80,55,210,57,401,66,Student-Athletes,Abilene Christian University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,407,23,2054,35,475,35,2237,47,882,29,4291,41,All Students,Alabama A&M University,12,33,115,41,105,43,12,33,66,56,74,61,24,33,181,46,179,50,Student-Athletes,Alabama A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,583,18,2218,19,768,31,2767,31,1351,25,4985,25,All Students,Alabama State University,31,29,129,41,117,63,28,64,91,52,78,79,59,46,220,45,195,70,Student-Athletes,Alabama State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,209,24,967,28,305,41,1189,40,514,34,2156,35,All Students,Alcorn State University,36,25,133,29,108,59,31,35,89,43,73,79,67,30,222,35,181,67,Student-Athletes,Alcorn State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,448,80,1779,77,836,80,3312,79,1284,80,5091,78,All Students,American University,17,88,59,73,66,94,18,83,78,74,69,94,35,86,137,74,135,94,Student-Athletes,American University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1329,63,5164,62,1401,73,5317,71,2730,69,10481,67,All Students,Appalachian State University,47,74,179,60,165,79,33,70,129,67,114,88,80,73,308,63,279,82,Student-Athletes,Appalachian State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1224,64,4689,64,1292,68,4800,67,2516,66,9489,65,All Students,University at Albany,41,63,127,61,154,73,53,64,141,67,132,87,94,64,268,65,286,80,Student-Athletes,University at Albany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1812,41,12001,41,1740,44,12594,41,3552,42,24595,41,All Students,University of Akron,39,59,158,60,178,66,36,72,141,71,131,85,75,65,299,65,309,74,Student-Athletes,University of Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1977,63,6916,63,2461,69,8729,69,4438,67,15645,67,All Students,University of Alabama,41,59,175,60,161,87,49,76,163,78,151,95,90,68,338,69,312,91,Student-Athletes,University of Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,571,48,2344,43,805,58,3564,49,1376,54,5908,47,All Students,University of Alabama at Birmingham,37,59,124,56,167,70,34,62,112,63,106,82,71,61,236,59,273,75,Student-Athletes,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
