Race,Men  Basketball,Men  Baseball,Men  CC/Track,Men  Football,Men  Other,School,Sport Category
Am. Ind./AN,0,0,0,0,0,1 - DI CA Test,Men
Asian,0,0,0,0,0,1 - DI CA Test,Men
Black,0,0,0,0,0,1 - DI CA Test,Men
Hispanic,0,0,0,0,0,1 - DI CA Test,Men
Nat. Haw./PI,0,0,0,0,0,1 - DI CA Test,Men
US N-R,0,0,0,0,0,1 - DI CA Test,Men
Two or More,0,0,0,0,0,1 - DI CA Test,Men
Unknown,0,0,0,0,0,1 - DI CA Test,Men
White,0,0,0,0,0,1 - DI CA Test,Men
Total,0,0,0,0,0,1 - DI CA Test,Men
Am. Ind./AN,0,4,2,3,0,Abilene Christian University,Men
Asian,0,0,1,0,0,Abilene Christian University,Men
Black,7,2,7,53,0,Abilene Christian University,Men
Hispanic,1,4,4,3,0,Abilene Christian University,Men
Nat. Haw./PI,0,0,0,0,0,Abilene Christian University,Men
US N-R,4,3,2,1,10,Abilene Christian University,Men
Two or More,0,0,0,0,0,Abilene Christian University,Men
Unknown,0,0,0,0,0,Abilene Christian University,Men
White,1,17,12,24,9,Abilene Christian University,Men
Total,13,30,28,84,19,Abilene Christian University,Men
Am. Ind./AN,0,0,0,0,0,Alabama A&M University,Men
Asian,0,0,0,0,0,Alabama A&M University,Men
Black,11,13,20,75,1,Alabama A&M University,Men
Hispanic,0,7,0,1,7,Alabama A&M University,Men
Nat. Haw./PI,0,0,0,0,0,Alabama A&M University,Men
US N-R,2,0,1,0,1,Alabama A&M University,Men
Two or More,0,0,0,1,2,Alabama A&M University,Men
Unknown,0,0,0,0,0,Alabama A&M University,Men
White,0,7,0,1,2,Alabama A&M University,Men
Total,13,27,21,78,13,Alabama A&M University,Men
Am. Ind./AN,0,0,0,0,0,Alabama State University,Men
Asian,0,0,0,0,1,Alabama State University,Men
Black,13,5,14,94,0,Alabama State University,Men
Hispanic,0,15,0,0,0,Alabama State University,Men
Nat. Haw./PI,0,0,0,0,0,Alabama State University,Men
US N-R,0,0,3,0,11,Alabama State University,Men
Two or More,0,0,0,0,0,Alabama State University,Men
Unknown,0,0,0,0,1,Alabama State University,Men
White,0,4,0,4,4,Alabama State University,Men
Total,13,24,17,98,17,Alabama State University,Men
Am. Ind./AN,0,1,0,1,0,Alcorn State University,Men
Asian,0,0,0,0,0,Alcorn State University,Men
Black,12,8,10,56,0,Alcorn State University,Men
Hispanic,0,4,0,0,0,Alcorn State University,Men
Nat. Haw./PI,0,0,0,0,0,Alcorn State University,Men
US N-R,0,1,3,2,0,Alcorn State University,Men
Two or More,0,0,0,0,0,Alcorn State University,Men
Unknown,0,0,0,0,0,Alcorn State University,Men
White,0,6,0,2,0,Alcorn State University,Men
Total,12,20,13,61,0,Alcorn State University,Men
Am. Ind./AN,0,0,0,0,0,American University,Men
Asian,0,0,0,0,0,American University,Men
Black,3,0,2,0,6,American University,Men
Hispanic,0,0,1,0,11,American University,Men
Nat. Haw./PI,0,0,0,0,0,American University,Men
US N-R,2,0,0,0,4,American University,Men
Two or More,3,0,0,0,3,American University,Men
Unknown,1,0,0,0,1,American University,Men
White,4,0,11,0,26,American University,Men
Total,13,0,14,0,51,American University,Men
Am. Ind./AN,0,0,0,0,0,Appalachian State University,Men
Asian,0,0,0,0,0,Appalachian State University,Men
Black,10,0,6,40,2,Appalachian State University,Men
Hispanic,0,2,0,4,2,Appalachian State University,Men
Nat. Haw./PI,0,0,0,0,0,Appalachian State University,Men
US N-R,0,1,0,1,3,Appalachian State University,Men
Two or More,0,2,1,5,0,Appalachian State University,Men
Unknown,0,0,0,1,0,Appalachian State University,Men
White,1,21,13,20,23,Appalachian State University,Men
Total,11,26,20,71,30,Appalachian State University,Men
Am. Ind./AN,0,0,0,0,0,Arizona State University,Men
Asian,0,1,0,0,2,Arizona State University,Men
Black,8,0,4,47,0,Arizona State University,Men
Hispanic,0,6,0,6,10,Arizona State University,Men
Nat. Haw./PI,0,1,0,9,0,Arizona State University,Men
US N-R,2,0,3,0,18,Arizona State University,Men
Two or More,0,1,0,5,2,Arizona State University,Men
Unknown,0,3,1,6,2,Arizona State University,Men
White,1,19,3,12,36,Arizona State University,Men
Total,11,31,11,85,70,Arizona State University,Men
Am. Ind./AN,0,0,0,2,0,Arkansas State University,Men
Asian,0,1,0,0,0,Arkansas State University,Men
Black,12,3,7,68,0,Arkansas State University,Men
Hispanic,0,0,0,0,0,Arkansas State University,Men
Nat. Haw./PI,0,0,1,0,0,Arkansas State University,Men
US N-R,0,0,0,0,0,Arkansas State University,Men
Two or More,2,0,2,3,0,Arkansas State University,Men
Unknown,0,1,4,6,0,Arkansas State University,Men
White,1,24,13,22,6,Arkansas State University,Men
Total,15,29,27,101,6,Arkansas State University,Men
Am. Ind./AN,0,1,0,1,0,Auburn University,Men
Asian,0,0,0,0,2,Auburn University,Men
Black,9,2,5,56,0,Auburn University,Men
Hispanic,0,1,1,2,3,Auburn University,Men
Nat. Haw./PI,0,0,0,1,0,Auburn University,Men
US N-R,0,1,7,2,7,Auburn University,Men
Two or More,2,1,1,6,0,Auburn University,Men
Unknown,0,0,0,1,0,Auburn University,Men
White,1,20,16,12,37,Auburn University,Men
Total,12,26,30,81,49,Auburn University,Men
Am. Ind./AN,0,0,0,0,0,Austin Peay State University,Men
Asian,0,0,0,0,0,Austin Peay State University,Men
Black,2,0,0,41,0,Austin Peay State University,Men
Hispanic,0,2,2,3,0,Austin Peay State University,Men
Nat. Haw./PI,0,0,0,0,0,Austin Peay State University,Men
US N-R,1,3,0,0,5,Austin Peay State University,Men
Two or More,2,4,0,6,0,Austin Peay State University,Men
Unknown,2,3,1,2,0,Austin Peay State University,Men
White,0,13,3,16,7,Austin Peay State University,Men
Total,7,25,6,68,12,Austin Peay State University,Men
Am. Ind./AN,0,0,0,0,0,Ball State University,Men
Asian,0,0,0,0,2,Ball State University,Men
Black,9,0,0,38,0,Ball State University,Men
Hispanic,0,0,0,1,2,Ball State University,Men
Nat. Haw./PI,0,0,0,0,0,Ball State University,Men
US N-R,2,0,0,1,4,Ball State University,Men
Two or More,0,2,0,2,0,Ball State University,Men
Unknown,0,0,0,2,0,Ball State University,Men
White,2,23,0,42,26,Ball State University,Men
Total,13,25,0,86,34,Ball State University,Men
Am. Ind./AN,0,0,0,0,0,Baylor University,Men
Asian,0,0,0,0,0,Baylor University,Men
Black,0,0,0,0,0,Baylor University,Men
Hispanic,0,0,0,0,0,Baylor University,Men
Nat. Haw./PI,0,0,0,0,0,Baylor University,Men
US N-R,0,0,0,0,0,Baylor University,Men
Two or More,0,0,0,0,0,Baylor University,Men
Unknown,0,0,0,0,0,Baylor University,Men
White,0,0,0,0,0,Baylor University,Men
Total,0,0,0,0,0,Baylor University,Men
Am. Ind./AN,0,0,0,0,0,Belmont University,Men
Asian,0,1,0,0,1,Belmont University,Men
Black,4,0,9,0,1,Belmont University,Men
Hispanic,0,1,1,0,1,Belmont University,Men
Nat. Haw./PI,0,0,0,0,0,Belmont University,Men
US N-R,0,1,1,0,11,Belmont University,Men
Two or More,1,0,2,0,0,Belmont University,Men
Unknown,0,0,0,0,0,Belmont University,Men
White,7,25,14,0,23,Belmont University,Men
Total,12,28,27,0,37,Belmont University,Men
Am. Ind./AN,0,0,0,0,0,Bethune-Cookman University,Men
Asian,0,0,0,0,0,Bethune-Cookman University,Men
Black,3,2,9,24,0,Bethune-Cookman University,Men
Hispanic,0,12,0,0,0,Bethune-Cookman University,Men
Nat. Haw./PI,0,0,0,0,0,Bethune-Cookman University,Men
US N-R,0,0,0,0,2,Bethune-Cookman University,Men
Two or More,1,1,0,4,0,Bethune-Cookman University,Men
Unknown,0,0,0,0,0,Bethune-Cookman University,Men
White,1,3,0,1,0,Bethune-Cookman University,Men
Total,5,18,9,29,2,Bethune-Cookman University,Men
Am. Ind./AN,0,0,0,0,0,Binghamton University,Men
Asian,0,1,2,0,3,Binghamton University,Men
Black,10,0,5,0,1,Binghamton University,Men
Hispanic,0,1,1,0,5,Binghamton University,Men
Nat. Haw./PI,0,0,0,0,0,Binghamton University,Men
US N-R,1,0,0,0,12,Binghamton University,Men
Two or More,0,1,0,0,5,Binghamton University,Men
Unknown,0,0,0,0,2,Binghamton University,Men
White,2,24,18,0,72,Binghamton University,Men
Total,13,27,26,0,100,Binghamton University,Men
Am. Ind./AN,0,0,0,0,0,Boise State University,Men
Asian,0,0,0,0,0,Boise State University,Men
Black,2,0,1,33,0,Boise State University,Men
Hispanic,0,0,0,1,0,Boise State University,Men
Nat. Haw./PI,0,0,0,5,0,Boise State University,Men
US N-R,2,0,13,5,10,Boise State University,Men
Two or More,3,0,0,17,1,Boise State University,Men
Unknown,0,0,0,0,0,Boise State University,Men
White,6,0,4,39,7,Boise State University,Men
Total,13,0,18,100,18,Boise State University,Men
Am. Ind./AN,0,0,0,0,0,Boston College,Men
Asian,0,0,0,0,3,Boston College,Men
Black,8,2,0,63,2,Boston College,Men
Hispanic,0,2,0,5,5,Boston College,Men
Nat. Haw./PI,0,0,0,3,0,Boston College,Men
US N-R,2,0,0,5,13,Boston College,Men
Two or More,1,2,0,3,0,Boston College,Men
Unknown,0,0,0,0,0,Boston College,Men
White,1,21,0,18,32,Boston College,Men
Total,12,27,0,97,55,Boston College,Men
Am. Ind./AN,0,0,0,0,0,Boston University,Men
Asian,0,0,0,0,4,Boston University,Men
Black,3,0,5,0,2,Boston University,Men
Hispanic,4,0,0,0,6,Boston University,Men
Nat. Haw./PI,0,0,0,0,0,Boston University,Men
US N-R,3,0,8,0,23,Boston University,Men
Two or More,1,0,1,0,6,Boston University,Men
Unknown,1,0,1,0,3,Boston University,Men
White,1,0,13,0,88,Boston University,Men
Total,13,0,28,0,132,Boston University,Men
Am. Ind./AN,0,0,0,0,0,Bowling Green State University,Men
Asian,0,0,0,0,0,Bowling Green State University,Men
Black,10,0,0,58,0,Bowling Green State University,Men
Hispanic,0,2,0,0,0,Bowling Green State University,Men
Nat. Haw./PI,0,0,0,1,0,Bowling Green State University,Men
US N-R,3,1,0,3,25,Bowling Green State University,Men
Two or More,0,0,2,10,2,Bowling Green State University,Men
Unknown,0,0,1,3,3,Bowling Green State University,Men
White,0,24,1,26,27,Bowling Green State University,Men
Total,13,27,4,101,57,Bowling Green State University,Men
Am. Ind./AN,0,0,0,0,0,Bradley University,Men
Asian,0,0,1,0,0,Bradley University,Men
Black,7,0,0,0,3,Bradley University,Men
Hispanic,0,1,1,0,1,Bradley University,Men
Nat. Haw./PI,0,1,0,0,0,Bradley University,Men
US N-R,3,2,6,0,10,Bradley University,Men
Two or More,0,2,0,0,1,Bradley University,Men
Unknown,1,0,0,0,0,Bradley University,Men
White,2,17,14,0,9,Bradley University,Men
Total,13,23,22,0,24,Bradley University,Men
Am. Ind./AN,0,0,0,0,0,Brigham Young University,Men
Asian,0,0,0,0,4,Brigham Young University,Men
Black,1,0,0,17,1,Brigham Young University,Men
Hispanic,1,4,3,3,4,Brigham Young University,Men
Nat. Haw./PI,0,0,0,17,0,Brigham Young University,Men
US N-R,3,0,0,0,7,Brigham Young University,Men
Two or More,1,3,2,16,4,Brigham Young University,Men
Unknown,0,0,1,2,0,Brigham Young University,Men
White,4,23,38,35,40,Brigham Young University,Men
Total,10,30,44,90,60,Brigham Young University,Men
Am. Ind./AN,0,0,0,0,0,Brown University,Men
Asian,0,0,0,0,0,Brown University,Men
Black,0,0,0,0,0,Brown University,Men
Hispanic,0,0,0,0,0,Brown University,Men
Nat. Haw./PI,0,0,0,0,0,Brown University,Men
US N-R,0,0,0,0,0,Brown University,Men
Two or More,0,0,0,0,0,Brown University,Men
Unknown,0,0,0,0,0,Brown University,Men
White,0,0,0,0,0,Brown University,Men
Total,0,0,0,0,0,Brown University,Men
Am. Ind./AN,0,0,0,1,0,Bryant University,Men
Asian,0,0,1,1,2,Bryant University,Men
Black,3,0,1,36,3,Bryant University,Men
Hispanic,2,1,0,5,7,Bryant University,Men
Nat. Haw./PI,0,0,0,0,0,Bryant University,Men
US N-R,2,0,0,3,18,Bryant University,Men
Two or More,0,1,0,0,0,Bryant University,Men
Unknown,3,2,0,3,1,Bryant University,Men
White,3,25,14,32,74,Bryant University,Men
Total,13,29,16,81,105,Bryant University,Men
Am. Ind./AN,0,0,0,0,0,Bucknell University,Men
Asian,0,0,0,0,0,Bucknell University,Men
Black,4,1,1,27,2,Bucknell University,Men
Hispanic,2,2,2,1,2,Bucknell University,Men
Nat. Haw./PI,0,0,0,0,0,Bucknell University,Men
US N-R,2,0,0,1,6,Bucknell University,Men
Two or More,1,0,0,6,1,Bucknell University,Men
Unknown,0,0,0,1,0,Bucknell University,Men
White,4,11,11,48,64,Bucknell University,Men
Total,13,14,14,84,75,Bucknell University,Men
Am. Ind./AN,0,0,0,0,0,Butler University,Men
Asian,0,1,0,0,2,Butler University,Men
Black,6,1,1,0,3,Butler University,Men
Hispanic,0,0,0,0,4,Butler University,Men
Nat. Haw./PI,0,0,0,0,0,Butler University,Men
US N-R,0,0,0,0,0,Butler University,Men
Two or More,1,2,0,0,4,Butler University,Men
Unknown,1,0,0,0,1,Butler University,Men
White,5,25,11,0,28,Butler University,Men
Total,13,29,12,0,42,Butler University,Men
Am. Ind./AN,0,0,0,0,1,California Baptist University,Men
Asian,0,0,0,0,6,California Baptist University,Men
Black,5,0,0,0,3,California Baptist University,Men
Hispanic,0,12,0,0,19,California Baptist University,Men
Nat. Haw./PI,0,0,0,0,1,California Baptist University,Men
US N-R,3,0,9,0,20,California Baptist University,Men
Two or More,1,1,0,0,14,California Baptist University,Men
Unknown,0,0,0,0,9,California Baptist University,Men
White,0,13,0,0,35,California Baptist University,Men
Total,9,26,9,0,108,California Baptist University,Men
Am. Ind./AN,0,1,0,1,0,California Polytechnic State University,Men
Asian,0,1,3,2,2,California Polytechnic State University,Men
Black,6,1,3,17,0,California Polytechnic State University,Men
Hispanic,0,7,9,17,8,California Polytechnic State University,Men
Nat. Haw./PI,0,0,0,7,0,California Polytechnic State University,Men
US N-R,1,1,0,1,6,California Polytechnic State University,Men
Two or More,2,1,2,10,5,California Polytechnic State University,Men
Unknown,0,0,0,2,1,California Polytechnic State University,Men
White,2,11,16,21,35,California Polytechnic State University,Men
Total,11,23,33,78,57,California Polytechnic State University,Men
Am. Ind./AN,0,0,0,0,0,California State University Bakersfield,Men
Asian,0,0,0,0,2,California State University Bakersfield,Men
Black,8,1,1,0,2,California State University Bakersfield,Men
Hispanic,0,11,7,0,15,California State University Bakersfield,Men
Nat. Haw./PI,0,0,0,0,0,California State University Bakersfield,Men
US N-R,4,2,0,0,12,California State University Bakersfield,Men
Two or More,0,5,0,0,2,California State University Bakersfield,Men
Unknown,0,1,0,0,0,California State University Bakersfield,Men
White,0,8,3,0,18,California State University Bakersfield,Men
Total,12,28,11,0,51,California State University Bakersfield,Men
Am. Ind./AN,0,0,0,0,0,California State University Fresno,Men
Asian,0,0,0,0,1,California State University Fresno,Men
Black,10,3,0,58,0,California State University Fresno,Men
Hispanic,1,4,0,7,0,California State University Fresno,Men
Nat. Haw./PI,0,0,0,10,0,California State University Fresno,Men
US N-R,0,0,0,1,0,California State University Fresno,Men
Two or More,2,2,0,4,0,California State University Fresno,Men
Unknown,0,1,0,4,0,California State University Fresno,Men
White,0,23,0,19,7,California State University Fresno,Men
Total,13,33,0,103,8,California State University Fresno,Men
Am. Ind./AN,0,0,0,0,0,California State University Fullerton,Men
Asian,0,1,0,0,4,California State University Fullerton,Men
Black,8,1,11,0,1,California State University Fullerton,Men
Hispanic,2,16,14,0,11,California State University Fullerton,Men
Nat. Haw./PI,0,0,0,0,0,California State University Fullerton,Men
US N-R,0,0,3,0,7,California State University Fullerton,Men
Two or More,0,2,6,0,0,California State University Fullerton,Men
Unknown,1,1,0,0,1,California State University Fullerton,Men
White,2,12,10,0,11,California State University Fullerton,Men
Total,13,33,44,0,35,California State University Fullerton,Men
Am. Ind./AN,0,0,0,0,0,California State University Northridge,Men
Asian,0,2,0,0,0,California State University Northridge,Men
Black,8,0,4,0,8,California State University Northridge,Men
Hispanic,0,7,4,0,10,California State University Northridge,Men
Nat. Haw./PI,0,0,2,0,0,California State University Northridge,Men
US N-R,2,1,0,0,21,California State University Northridge,Men
Two or More,0,3,1,0,2,California State University Northridge,Men
Unknown,1,2,0,0,0,California State University Northridge,Men
White,0,14,1,0,12,California State University Northridge,Men
Total,11,29,12,0,53,California State University Northridge,Men
Am. Ind./AN,0,0,0,0,0,California State University Sacramento,Men
Asian,0,0,0,0,0,California State University Sacramento,Men
Black,1,0,6,24,4,California State University Sacramento,Men
Hispanic,0,8,2,10,14,California State University Sacramento,Men
Nat. Haw./PI,0,0,1,5,0,California State University Sacramento,Men
US N-R,9,1,0,1,5,California State University Sacramento,Men
Two or More,1,4,2,8,1,California State University Sacramento,Men
Unknown,0,1,1,2,1,California State University Sacramento,Men
White,1,16,5,18,7,California State University Sacramento,Men
Total,12,30,17,68,32,California State University Sacramento,Men
Am. Ind./AN,0,0,1,1,0,Campbell University,Men
Asian,0,0,0,1,1,Campbell University,Men
Black,2,3,15,61,2,Campbell University,Men
Hispanic,0,0,0,1,3,Campbell University,Men
Nat. Haw./PI,0,1,0,0,0,Campbell University,Men
US N-R,3,0,0,0,31,Campbell University,Men
Two or More,0,0,0,0,3,Campbell University,Men
Unknown,0,1,2,4,0,Campbell University,Men
White,7,26,1,18,23,Campbell University,Men
Total,12,31,19,86,63,Campbell University,Men
Am. Ind./AN,0,0,0,0,0,Canisius University,Men
Asian,0,0,0,0,0,Canisius University,Men
Black,6,1,0,0,1,Canisius University,Men
Hispanic,1,0,0,0,7,Canisius University,Men
Nat. Haw./PI,0,0,0,0,0,Canisius University,Men
US N-R,3,8,0,0,32,Canisius University,Men
Two or More,1,1,0,0,2,Canisius University,Men
Unknown,0,0,0,0,0,Canisius University,Men
White,0,16,12,0,46,Canisius University,Men
Total,11,26,12,0,88,Canisius University,Men
Am. Ind./AN,0,0,0,0,0,Central Connecticut State University,Men
Asian,0,0,0,0,0,Central Connecticut State University,Men
Black,8,1,5,40,1,Central Connecticut State University,Men
Hispanic,1,2,4,7,5,Central Connecticut State University,Men
Nat. Haw./PI,0,0,0,0,0,Central Connecticut State University,Men
US N-R,1,0,0,0,5,Central Connecticut State University,Men
Two or More,0,0,0,4,2,Central Connecticut State University,Men
Unknown,0,1,2,3,0,Central Connecticut State University,Men
White,2,15,11,18,4,Central Connecticut State University,Men
Total,12,19,22,72,17,Central Connecticut State University,Men
Am. Ind./AN,0,0,0,1,0,Central Michigan University,Men
Asian,0,0,0,0,0,Central Michigan University,Men
Black,4,1,0,42,5,Central Michigan University,Men
Hispanic,1,0,0,1,0,Central Michigan University,Men
Nat. Haw./PI,0,0,0,1,0,Central Michigan University,Men
US N-R,0,0,0,0,0,Central Michigan University,Men
Two or More,4,3,1,10,4,Central Michigan University,Men
Unknown,1,0,0,1,0,Central Michigan University,Men
White,2,26,9,31,22,Central Michigan University,Men
Total,12,30,10,87,31,Central Michigan University,Men
Am. Ind./AN,0,0,0,0,0,Charleston Southern University,Men
Asian,0,2,0,0,0,Charleston Southern University,Men
Black,12,1,2,50,0,Charleston Southern University,Men
Hispanic,0,1,0,1,1,Charleston Southern University,Men
Nat. Haw./PI,0,1,0,0,0,Charleston Southern University,Men
US N-R,0,1,3,0,5,Charleston Southern University,Men
Two or More,1,0,3,3,1,Charleston Southern University,Men
Unknown,0,1,0,9,0,Charleston Southern University,Men
White,1,22,12,20,4,Charleston Southern University,Men
Total,14,29,20,83,11,Charleston Southern University,Men
Am. Ind./AN,0,0,0,0,0,Chicago State University,Men
Asian,0,0,0,0,1,Chicago State University,Men
Black,11,0,4,0,5,Chicago State University,Men
Hispanic,0,0,0,0,3,Chicago State University,Men
Nat. Haw./PI,0,0,0,0,0,Chicago State University,Men
US N-R,1,0,1,0,16,Chicago State University,Men
Two or More,1,0,0,0,1,Chicago State University,Men
Unknown,0,0,0,0,0,Chicago State University,Men
White,0,0,2,0,5,Chicago State University,Men
Total,13,0,7,0,31,Chicago State University,Men
Am. Ind./AN,0,0,0,0,0,Clemson University,Men
Asian,0,0,0,0,0,Clemson University,Men
Black,6,1,6,54,4,Clemson University,Men
Hispanic,0,0,0,0,0,Clemson University,Men
Nat. Haw./PI,0,0,1,0,0,Clemson University,Men
US N-R,1,0,9,0,20,Clemson University,Men
Two or More,0,6,2,12,5,Clemson University,Men
Unknown,0,2,0,4,4,Clemson University,Men
White,6,22,4,37,23,Clemson University,Men
Total,13,31,22,107,56,Clemson University,Men
Am. Ind./AN,0,0,0,0,0,Cleveland State University,Men
Asian,0,0,0,0,1,Cleveland State University,Men
Black,9,0,0,0,5,Cleveland State University,Men
Hispanic,0,0,0,0,0,Cleveland State University,Men
Nat. Haw./PI,0,0,0,0,0,Cleveland State University,Men
US N-R,2,0,0,0,20,Cleveland State University,Men
Two or More,0,0,0,0,4,Cleveland State University,Men
Unknown,0,0,0,0,0,Cleveland State University,Men
White,2,0,0,0,79,Cleveland State University,Men
Total,13,0,0,0,109,Cleveland State University,Men
Am. Ind./AN,0,0,0,0,0,Coastal Carolina University,Men
Asian,0,0,0,0,1,Coastal Carolina University,Men
Black,3,0,9,54,0,Coastal Carolina University,Men
Hispanic,0,0,4,1,0,Coastal Carolina University,Men
Nat. Haw./PI,0,0,0,1,0,Coastal Carolina University,Men
US N-R,4,1,1,1,24,Coastal Carolina University,Men
Two or More,0,1,2,8,1,Coastal Carolina University,Men
Unknown,4,2,2,17,2,Coastal Carolina University,Men
White,2,24,9,19,5,Coastal Carolina University,Men
Total,13,28,27,101,33,Coastal Carolina University,Men
Am. Ind./AN,0,0,0,0,0,Colgate University,Men
Asian,0,0,0,0,0,Colgate University,Men
Black,3,0,0,17,2,Colgate University,Men
Hispanic,0,0,0,3,2,Colgate University,Men
Nat. Haw./PI,0,0,0,0,0,Colgate University,Men
US N-R,1,0,0,2,14,Colgate University,Men
Two or More,1,0,0,4,2,Colgate University,Men
Unknown,0,0,0,3,2,Colgate University,Men
White,8,0,0,50,55,Colgate University,Men
Total,13,0,0,79,77,Colgate University,Men
Am. Ind./AN,0,0,0,0,0,College of Charleston (South Carolina),Men
Asian,0,0,0,0,1,College of Charleston (South Carolina),Men
Black,4,4,0,0,2,College of Charleston (South Carolina),Men
Hispanic,0,2,0,0,2,College of Charleston (South Carolina),Men
Nat. Haw./PI,0,0,0,0,0,College of Charleston (South Carolina),Men
US N-R,4,0,0,0,21,College of Charleston (South Carolina),Men
Two or More,3,1,0,0,0,College of Charleston (South Carolina),Men
Unknown,0,1,0,0,0,College of Charleston (South Carolina),Men
White,1,20,9,0,10,College of Charleston (South Carolina),Men
Total,12,28,9,0,36,College of Charleston (South Carolina),Men
Am. Ind./AN,0,0,0,0,0,College of the Holy Cross,Men
Asian,0,0,0,0,0,College of the Holy Cross,Men
Black,6,0,2,22,3,College of the Holy Cross,Men
Hispanic,0,0,1,9,1,College of the Holy Cross,Men
Nat. Haw./PI,0,0,0,0,0,College of the Holy Cross,Men
US N-R,1,0,0,1,11,College of the Holy Cross,Men
Two or More,2,0,3,5,1,College of the Holy Cross,Men
Unknown,0,1,1,2,0,College of the Holy Cross,Men
White,4,2,10,43,32,College of the Holy Cross,Men
Total,13,3,17,82,48,College of the Holy Cross,Men
Am. Ind./AN,0,0,0,1,0,Colorado State University,Men
Asian,0,0,1,0,0,Colorado State University,Men
Black,5,0,5,46,0,Colorado State University,Men
Hispanic,0,0,1,1,0,Colorado State University,Men
Nat. Haw./PI,0,0,0,2,0,Colorado State University,Men
US N-R,1,0,1,0,2,Colorado State University,Men
Two or More,3,0,3,0,17,Colorado State University,Men
Unknown,0,0,0,5,0,Colorado State University,Men
White,4,0,25,29,5,Colorado State University,Men
Total,13,0,36,84,24,Colorado State University,Men
Am. Ind./AN,0,0,0,0,0,Columbia University-Barnard College,Men
Asian,0,0,0,0,0,Columbia University-Barnard College,Men
Black,0,0,0,0,0,Columbia University-Barnard College,Men
Hispanic,0,0,0,0,0,Columbia University-Barnard College,Men
Nat. Haw./PI,0,0,0,0,0,Columbia University-Barnard College,Men
US N-R,0,0,0,0,0,Columbia University-Barnard College,Men
Two or More,0,0,0,0,0,Columbia University-Barnard College,Men
Unknown,0,0,0,0,0,Columbia University-Barnard College,Men
White,0,0,0,0,0,Columbia University-Barnard College,Men
Total,0,0,0,0,0,Columbia University-Barnard College,Men
Am. Ind./AN,0,0,0,0,0,Coppin State University,Men
Asian,0,0,0,0,0,Coppin State University,Men
Black,0,0,0,0,0,Coppin State University,Men
Hispanic,0,0,0,0,0,Coppin State University,Men
Nat. Haw./PI,0,0,0,0,0,Coppin State University,Men
US N-R,0,0,0,0,0,Coppin State University,Men
Two or More,0,0,0,0,0,Coppin State University,Men
Unknown,0,0,0,0,0,Coppin State University,Men
White,0,0,0,0,0,Coppin State University,Men
Total,0,0,0,0,0,Coppin State University,Men
Am. Ind./AN,0,0,0,0,0,Cornell University,Men
Asian,0,0,0,0,0,Cornell University,Men
Black,0,0,0,0,0,Cornell University,Men
Hispanic,0,0,0,0,0,Cornell University,Men
Nat. Haw./PI,0,0,0,0,0,Cornell University,Men
US N-R,0,0,0,0,0,Cornell University,Men
Two or More,0,0,0,0,0,Cornell University,Men
Unknown,0,0,0,0,0,Cornell University,Men
White,0,0,0,0,0,Cornell University,Men
Total,0,0,0,0,0,Cornell University,Men
Am. Ind./AN,0,0,0,0,0,Creighton University,Men
Asian,0,0,0,0,4,Creighton University,Men
Black,5,0,0,0,0,Creighton University,Men
Hispanic,1,1,1,0,7,Creighton University,Men
Nat. Haw./PI,0,0,0,0,0,Creighton University,Men
US N-R,0,1,0,0,0,Creighton University,Men
Two or More,1,0,1,0,3,Creighton University,Men
Unknown,0,0,0,0,3,Creighton University,Men
White,6,20,14,0,14,Creighton University,Men
Total,13,22,16,0,31,Creighton University,Men
Am. Ind./AN,0,0,0,0,0,Dartmouth College,Men
Asian,0,1,1,0,3,Dartmouth College,Men
Black,1,0,2,14,0,Dartmouth College,Men
Hispanic,0,1,0,2,1,Dartmouth College,Men
Nat. Haw./PI,0,0,0,0,0,Dartmouth College,Men
US N-R,0,0,1,1,11,Dartmouth College,Men
Two or More,0,1,0,2,0,Dartmouth College,Men
Unknown,0,4,0,0,0,Dartmouth College,Men
White,2,0,4,8,22,Dartmouth College,Men
Total,3,7,8,27,37,Dartmouth College,Men
Am. Ind./AN,0,0,0,0,1,Davidson College,Men
Asian,0,0,1,0,5,Davidson College,Men
Black,1,0,2,0,5,Davidson College,Men
Hispanic,0,1,0,0,4,Davidson College,Men
Nat. Haw./PI,0,0,0,0,0,Davidson College,Men
US N-R,3,0,0,0,4,Davidson College,Men
Two or More,0,0,0,0,1,Davidson College,Men
Unknown,0,0,0,0,0,Davidson College,Men
White,8,27,11,0,56,Davidson College,Men
Total,12,28,14,0,76,Davidson College,Men
Am. Ind./AN,0,0,0,0,0,DePaul University,Men
Asian,0,0,0,0,1,DePaul University,Men
Black,9,0,9,0,4,DePaul University,Men
Hispanic,0,0,1,0,9,DePaul University,Men
Nat. Haw./PI,0,0,0,0,1,DePaul University,Men
US N-R,3,0,4,0,13,DePaul University,Men
Two or More,1,0,1,0,1,DePaul University,Men
Unknown,0,0,2,0,0,DePaul University,Men
White,0,0,11,0,17,DePaul University,Men
Total,13,0,28,0,46,DePaul University,Men
Am. Ind./AN,0,0,0,0,0,Delaware State University,Men
Asian,0,0,0,0,0,Delaware State University,Men
Black,7,7,19,44,0,Delaware State University,Men
Hispanic,2,3,0,5,0,Delaware State University,Men
Nat. Haw./PI,0,0,0,1,0,Delaware State University,Men
US N-R,0,0,0,0,0,Delaware State University,Men
Two or More,1,2,1,5,0,Delaware State University,Men
